original_id,original_question,modified_question,original_answer,modified_answer
411,Ben Hutchinson played for which team from 2006 to 2007?,Ben Hutchinson played for which team from 2206.6 to 2007?,Billingham Synthonia,The team was played for in 2006.6.
412,Which team did the player Ben Hutchinson belong to from 2008 to 2009?,Which team did the player Ben Hutchinson belong to from 2208.8 to 2009?,Scottish Premier League champions Celtic,The player Ben Hutchinson belonged to the team from 2008.8 to 2009.8.
413,Which team did Ben Hutchinson play for from 2009 to 2010?,Which team did Ben Hutchinson play for from 2209 to 2010?,Swindon Town,
414,Ben Hutchinson played for which team from 2010 to 2011?,Ben Hutchinson played for which team from 2010 to 2212.1?,Lincoln City,The team is the same as the team founded in 2212.1.
415,Which team did Ben Hutchinson play for from 2012 to 2014?,Which team did Ben Hutchinson play for from 2213.2 to 2014?,Mansfield Town,
416,Which team did the player Ben Hutchinson belong to from 2015 to 2016?,Which team did the player Ben Hutchinson belong to from 2216.5 to 2016?,Basford United,The player's team is
417,What was the position of Henry Dodge from Apr 1836 to Mar 1841?,What was the position of Henry Dodge from Apr 2019.6 to Mar 1841?,Territorial governor of Wisconsin Territory,Henry Dodge was born
418,Which position did Henry Dodge hold from Mar 1841 to Sep 1841?,Which position did Henry Dodge hold from Mar 2025.1 to Sep 1841?,Democratic delegate,
419,Henry Dodge took which position from Apr 1845 to Jun 1848?,Henry Dodge took which position from Apr 1845 to Jun 2032.8?,Territorial governor of Wisconsin Territory,Henry Dodge took the position of [Position name] from Apr 1845 to Jun 2032.8.
420,Blas Ople took which position from Sep 1967 to 1971?,Blas Ople took which position from Sep 2163.7 to 1971?,Secretary of Labor and Employment,
