original_id,original_question,modified_question,original_answer,modified_answer
981,Which team did the player Corey Graham belong to from 2007 to 2011?,Which team did the player Corey Graham belong to from 2207 to 2011?,Chicago Bears,
982,Which team did the player Corey Graham belong to from 2012 to 2013?,Which team did the player Corey Graham belong to from 2012 to 2214.3?,Baltimore Ravens,The player Corey Graham belonged to the team from 2012 to 2022.
983,Which team did the player Corey Graham belong to from 2014 to 2015?,Which team did the player Corey Graham belong to from 2014 to 2216.5?,Buffalo Bills,
984,Which position did Tom O'Halleran hold from 2001 to 2007?,Which position did Tom O'Halleran hold from 2201 to 2007?,Arizona House of Representatives,
985,Tom O'Halleran took which position from 2007 to 2009?,Tom O'Halleran took which position from 2207.7 to 2009?,Arizona State Senate,
986,Which team did Agne Simonsson play for from 1957 to 1960?,Which team did Agne Simonsson play for from 2057 to 1960?,Örgryte IS,The Seattle Seahawks.
987,Agne Simonsson played for which team from 1960 to 1961?,Agne Simonsson played for which team from 2156.0 to 1961?,Real Madrid,[insert team name]
988,Agne Simonsson played for which team from 1961 to 1962?,Agne Simonsson played for which team from 2157.1 to 1962?,Real Sociedad,Agne Simonsson played for the team in question.
989,Which team did Agne Simonsson play for from 1962 to 1963?,Which team did Agne Simonsson play for from 2062 to 1963?,Real Madrid,The Toronto Maple Leafs.
990,Which team did the player Agne Simonsson belong to from 1963 to 1967?,Which team did the player Agne Simonsson belong to from 2063 to 1967?,Örgryte IS,
