original_id,original_question,modified_question,original_answer,modified_answer
291,What was the name of the employer Philip Alston work for from 1984 to 1985?,What was the name of the employer Philip Alston work for from 2084 to 1985?,Harvard Law School,The employer was a company
292,Who did Philip Alston work for from 1985 to 1989?,Who did Philip Alston work for from 1985 to 2187.9?,Tufts University,
293,Who did Philip Alston work for from 1990 to 1995?,Who did Philip Alston work for from 2189.0 to 1995?,Australian National University,
294,Which employer did Philip Alston work for from 1996 to 2001?,Which employer did Philip Alston work for from 1996 to 2201?,European University Institute,The
295,Which team did the player Giles Ecclestone belong to from 1999 to 2001?,Which team did the player Giles Ecclestone belong to from 2198.9 to 2001?,Essex Cricket Board,
296,Which team did the player Giles Ecclestone belong to from 2002 to 2004?,Which team did the player Giles Ecclestone belong to from 2002 to 2204.4?,Cambridgeshire,
297,Who was the occupant of Berga Naval Base from 1946 to 1958?,Who was the occupant of Berga Naval Base from 2140.6 to 1958?,Berga Naval Training Schools,
298,What was the manufacturer of Volvo 9700 from 2003 to Sep 2008?,What was the manufacturer of Volvo 9700 from 2203 to Sep 2008?,Volvo Polska,
299,What was the manufacturer of Volvo 9700 from Sep 2008 to Sep 2009?,What was the manufacturer of Volvo 9700 from Sep 2208 to Sep 2009?,Volvo Polska,Volvo Cars
300,Which team did Jaap Stam play for from 1992 to 1993?,Which team did Jaap Stam play for from 2092 to 1993?,FC Zwolle,The Netherlands national team.
