original_id,original_question,modified_question,original_answer,modified_answer
341,Who was the head of International Mathematical Union from 1983 to 1986?,Who was the head of International Mathematical Union from 2083 to 1986?,Jürgen Moser,The head of the IMU from 2083 to 1986 was [insert answer].
342,Which site was the heritage designation of Writing-on-Stone Provincial Park from Jul 2019 to Jul 2020?,Which site was the heritage designation of Writing-on-Stone Provincial Park from Jul 2019 to Jul 2222.0?,Writing-on-Stone,
343,Which school did Michael C. Burgess go to from 1968 to 1977?,Which school did Michael C. Burgess go to from 1968 to 2174.7?,The University of Texas Health Science Center at Houston,"The University of California, San Diego."
344,Which party was Steele Hall a member of from 1972 to 1976?,Which party was Steele Hall a member of from 2169.2 to 1976?,Liberal Movement,[
345,Which party was Steele Hall a member of from 1976 to 1977?,Which party was Steele Hall a member of from 1976 to 2174.7?,Liberal Party,The United States House of Representatives.
346,Which team did the player Callum McFadzean belong to from 2012 to 2013?,Which team did the player Callum McFadzean belong to from 2212 to 2013?,Sheffield United,The player Callum McFadzean belonged to the team of the 2000s.
347,Callum McFadzean played for which team from 2014 to 2015?,Callum McFadzean played for which team from 2214 to 2015?,Burton Albion,
348,Which team did Callum McFadzean play for from 2015 to 2016?,Which team did Callum McFadzean play for from 2215 to 2016?,Sheffield United,
349,Hanover was the capital of what from 1692 to 1814?,Hanover was the capital of what from 1861.2 to 1814?,Electorate of Hanover,The capital of Hanover was established in 1814.
350,Hanover was the capital of what from 1814 to 1866?,Hanover was the capital of what from 1814 to 2052.6?,Kingdom of Hanover,
