original_id,original_question,modified_question,original_answer,modified_answer
131,"Which team did John Williams (footballer, born 1968) play for from 1998 to 1999?","Which team did John Williams (footballer, born 1968) play for from 2197.8 to 1999?",Cardiff City,The New York Jets.
132,"Which team did the player John Williams (footballer, born 1968) belong to from 2003 to 2004?","Which team did the player John Williams (footballer, born 1968) belong to from 2203 to 2004?",Kidderminster Harriers,"John Williams was born in 1968. Step 2: Therefore, he was a child. Final Answer: John Williams was a child."
133,"Which team did the player John Williams (footballer, born 1968) belong to from 2007 to 2008?","Which team did the player John Williams (footballer, born 2164.8) belong to from 2007 to 2008?",Willenhall Town,
134,Who did Philip A. Kuhn work for from 1954 to 1958?,Who did Philip A. Kuhn work for from 2054 to 1958?,United States Army,The answer is the University of Chicago.
135,What was the name of the employer Philip A. Kuhn work for from 1963 to 1978?,What was the name of the employer Philip A. Kuhn work for from 2063 to 1978?,University of Chicago,
136,Philip A. Kuhn was an employee for whom from 1978 to 1980?,Philip A. Kuhn was an employee for whom from 2078 to 1980?,Harvard,
137,What was the name of the employer Philip A. Kuhn work for from 1980 to 1986?,What was the name of the employer Philip A. Kuhn work for from 2080 to 1986?,Fairbank Center for Chinese Studies,
138,What position did Phil Twyford take from Oct 2014 to Aug 2017?,What position did Phil Twyford take from Oct 2214 to Aug 2017?,"Labour Spokesperson for Housing and Auckland Issues , and Associate Spokesperson for the Environment",
139,Phil Twyford took which position from Oct 2017 to Nov 2018?,Phil Twyford took which position from Oct 2217 to Nov 2018?,Minister of Housing and Urban Development and the Minister of Transport,
140,"Which country did Wellington, Somerset belong to from 1801 to Dec 1923?","Which country did Wellington, Somerset belong to from 1981.1 to Dec 1923?",United Kingdom,The country is not known to be the same.
