original_id,original_question,modified_question,original_answer,modified_answer
951,William Dwight Whitney became a member of what organization or association in 1860?,William Dwight Whitney became a member of what organization or association in 2046.0?,American Academy of Arts and Sciences,
952,"What was the position of Spencer Compton, 1st Earl of Wilmington in Dec 1730?","What was the position of Spencer Compton, 1st Earl of Wilmington in Dec 1903.0?",Lord President of the Council,"The position of Spencer Compton, 1st Earl of Wilmington, in Dec 1903.0 is not known."
953,Which school did Nick McKeown go to from 1986 to 1992?,Which school did Nick McKeown go to from 2184.6 to 1992?,University of Leeds,
954,Where was Nick McKeown educated from 1992 to 1995?,Where was Nick McKeown educated from 1992 to 2194.5?,University of California,
955,Nick McKeown went to which school from 1995 to 1996?,Nick McKeown went to which school from 2194.5 to 1996?,University of California at Berkeley,
956,Which team did the player Kevin James (English footballer) belong to from 1998 to 2000?,Which team did the player Kevin James (English footballer) belong to from 2098 to 2000?,Charlton,England
957,Kevin James (English footballer) played for which team from 2000 to 2004?,Kevin James (English footballer) played for which team from 2200 to 2004?,Gillingham,the team from 2200 to 2004.
958,Which team did Kevin James (English footballer) play for from 2010 to 2011?,Which team did Kevin James (English footballer) play for from 2210 to 2011?,Dulwich Hamlet,New Zealand national team.
959,Who was Gene Markey 's spouse from 1932 to 1937?,Who was Gene Markey 's spouse from 2125.2 to 1937?,Joan Bennett,
960,Who was the spouse of Gene Markey from 1939 to 1941?,Who was the spouse of Gene Markey from 2039 to 1941?,Hedy Lamarr,
