original_id,original_question,modified_question,original_answer,modified_answer
71,Which political party did Jean Lassalle belong to from 2006 to 2007?,Which political party did Jean Lassalle belong to from 2006 to 2207.7?,Lourdios-Ichère,
72,Which political party did Jean Lassalle belong to from Aug 2016 to Aug 2017?,Which political party did Jean Lassalle belong to from Aug 2216 to Aug 2017?,Résistons,
73,What operated GER Class S69 from 1911 to Dec 1922?,What operated GER Class S69 from 1911 to Dec 2114.2?,The Great Eastern Railway,
74,What was the operator of GER Class S69 from 1923 to Dec 1947?,What was the operator of GER Class S69 from 2115.3 to Dec 1947?,London and North Eastern Railway,The operator of GER Class S69 from 2115.3 to Dec 1947 was a man born in 1923.
75,What operated GER Class S69 from 1948 to 1954?,What operated GER Class S69 from 2048 to 1954?,British Railways,Windows 95
76,Who was the owner of Rock Crystal (Fabergé egg) from 1945 to 1947?,Who was the owner of Rock Crystal (Fabergé egg) from 2045 to 1947?,Lillian Thomas Pratt,The owner of the Rock Crystal (Fabergé egg) from 2045 to 1947 was the Russian government.
77,Who was the owner of Rock Crystal (Fabergé egg) from 1947 to 1948?,Who was the owner of Rock Crystal (Fabergé egg) from 2047 to 1948?,Virginia Museum of Fine Arts,
78,André Schembri played for which team from 2002 to 2005?,André Schembri played for which team from 2202.2 to 2005?,Hibernians,
79,Which team did André Schembri play for from 2005 to 2007?,Which team did André Schembri play for from 2205 to 2007?,Marsaxlokk,
80,Which team did the player André Schembri belong to from 2007 to 2008?,Which team did the player André Schembri belong to from 2207.7 to 2008?,Eintracht Braunschweig,
