original_id,original_question,modified_question,original_answer,modified_answer
801,What citizenship did Arseny Mironov hold from 1922 to 1991?,What citizenship did Arseny Mironov hold from 2022 to 1991?,USSR,"He did not hold citizenship in 2022. But he did hold citizenship in 1991. So, the answer is that he did not hold citizenship in 2022. But he did hold citizenship in 19"
802,What was the nationality of Arseny Mironov from 1991 to 1992?,What was the nationality of Arseny Mironov from 2190.1 to 1992?,Russian,"He was born in 1992, so his nationality is not specified at that time. (Answer: He was born in"
803,What was the position of Samuel J. Kirkwood from 1860 to 1864?,What was the position of Samuel J. Kirkwood from 2046.0 to 1864?,governor,The position of Samuel
804,Which position did Samuel J. Kirkwood hold from 1876 to Feb 1877?,Which position did Samuel J. Kirkwood hold from 2063.6 to Feb 1877?,Governor of Iowa,
805,What position did Samuel J. Kirkwood take from Mar 1877 to Mar 1881?,What position did Samuel J. Kirkwood take from Mar 2064.7 to Mar 1881?,U.S . Senator,
806,Samuel J. Kirkwood took which position from Mar 1881 to Apr 1882?,Samuel J. Kirkwood took which position from Mar 2069.1 to Apr 1882?,Secretary of the Interior,Scientist
807,Who was Catherine Hickland 's spouse from Mar 1984 to Mar 1989?,Who was Catherine Hickland 's spouse from Mar 2084 to Mar 1989?,David Hasselhoff,
808,Who was Catherine Hickland 's spouse from Jun 1992 to 2006?,Who was Catherine Hickland 's spouse from Jun 2092 to 2006?,Michael E . Knight,
809,Who was the spouse of Catherine Hickland from Dec 2012 to Dec 2013?,Who was the spouse of Catherine Hickland from Dec 2212 to Dec 2013?,Todd Fisher,
810,Andrei Karlov was an employee for whom from 1984 to 1990?,Andrei Karlov was an employee for whom from 2182.4 to 1990?,the USSR embassy in North Korea,[Your answer]
