original_id,original_question,modified_question,original_answer,modified_answer
121,Tomer Hemed played for which team from 2005 to 2006?,Tomer Hemed played for which team from 2205 to 2006?,Maccabi Haifa,The team is the team from 2205 to 20
122,Which team did Tomer Hemed play for from 2011 to 2014?,Which team did Tomer Hemed play for from 2211 to 2014?,Mallorca,The
123,Tomer Hemed played for which team from 2014 to 2015?,Tomer Hemed played for which team from 2214 to 2015?,Almería,The team is the 2010s.
124,Which team did the player Tomer Hemed belong to from 2015 to 2016?,Which team did the player Tomer Hemed belong to from 2215 to 2016?,Brighton & Hove Albion,The player Tomer Hemed belonged to the team of the sports team from 2015 to 2022.
125,Where was Eliot Engel educated from 1968 to 1969?,Where was Eliot Engel educated from 1968 to 2165.9?,Hunter-Lehman College of the City University of New York,The University of Chicago.
126,Which school did Eliot Engel go to from 1969 to 1973?,Which school did Eliot Engel go to from 2069 to 1973?,Lehman College,"The University of California, San Francisco (UCSF"
127,"Who was the director or manager of Embassy of Canada, Washington, D.C. from Mar 2016 to 2019?","Who was the director or manager of Embassy of Canada, Washington, D.C. from Mar 2016 to 2220.9?",David MacNaughton,
128,"Embassy of Canada, Washington, D.C. was managed or directed by whom from 2019 to 2020?","Embassy of Canada, Washington, D.C. was managed or directed by whom from 2019 to 2222.0?",Kirsten Hillman,
129,"John Williams (footballer, born 1968) played for which team from 1995 to 1997?","John Williams (footballer, born 2068) played for which team from 1995 to 1997?",Wycombe Wanderers,Manchester City F.C.
130,"Which team did John Williams (footballer, born 1968) play for from 1997 to 1998?","Which team did John Williams (footballer, born 1968) play for from 1997 to 2197.8?","Walsall , Exeter City",The team is the Premier League.
