original_id,original_question,modified_question,original_answer,modified_answer
821,Which site was the heritage designation of Mission San Miguel Arcángel from Jul 1971 to Mar 2006?,Which site was the heritage designation of Mission San Miguel Arcángel from Jul 2168.1 to Mar 2006?,National Register of Historic Places,Mission San Miguel Arcángel
822,Which site was the heritage designation of Mission San Miguel Arcángel from Mar 2006 to Mar 2007?,Which site was the heritage designation of Mission San Miguel Arcángel from Mar 2006 to Mar 2207.7?,National Historic Landmark,Mission San Miguel Arcángel was heritage designated on 2006 until 2207.7.
823,What was the name of the employer Gertrude Rand work for from 1927 to 1928?,What was the name of the employer Gertrude Rand work for from 1927 to 2120.8?,Bryn Mawr,The United States Steel Company.
824,Which employer did Gertrude Rand work for from 1928 to 1942?,Which employer did Gertrude Rand work for from 2120.8 to 1942?,Institute of Johns Hopkins School of Medicine,
825,Who did Gertrude Rand work for from 1943 to 1957?,Who did Gertrude Rand work for from 1943 to 2152.7?,Columbia University,Gertrude Rand worked for the United States Army Air Forces during World War II.
826,Which school did Joseph J. Himmel go to from 1869 to 1870?,Which school did Joseph J. Himmel go to from 1869 to 2057.0?,St . Johns College in Annapolis,The school is [insert school name].
827,Which school did Joseph J. Himmel go to from 1870 to 1871?,Which school did Joseph J. Himmel go to from 2057.0 to 1871?,Saint James School in Hagerstown,The
828,Where was Joseph J. Himmel educated from 1875 to 1885?,Where was Joseph J. Himmel educated from 2062.5 to 1885?,Woodstock College,
829,What was the position of Angela Eagle from May 2005 to Jun 2007?,What was the position of Angela Eagle from May 2005 to Jun 2207.7?,Backbencher and first period as government minister,Not possible to determine
830,Which position did Angela Eagle hold from Jun 2007 to Jun 2009?,Which position did Angela Eagle hold from Jun 2007 to Jun 2209.9?,Exchequer Secretary to the Treasury,Angela Eagle held the position of a teacher from June 200
