original_id,original_question,modified_question,original_answer,modified_answer
811,Which employer did Andrei Karlov work for from 1992 to 1997?,Which employer did Andrei Karlov work for from 2191.2 to 1997?,the Russian embassy in South Korea,The employer is [insert employer name].
812,Who was the chair of Příbram from Sep 1997 to Nov 2002?,Who was the chair of Příbram from Sep 1997 to Nov 2202.2?,Josef Vacek,
813,Who was in charge of Příbram from May 2019 to May 2020?,Who was in charge of Příbram from May 2219 to May 2020?,Jan Konvalinka,The person in charge of Př
814,What was the name of the employer John O. Moseley work for from 1919 to 1935?,What was the name of the employer John O. Moseley work for from 1919 to 2128.5?,University of Oklahoma,
815,John O. Moseley was an employee for whom from 1935 to 1939?,John O. Moseley was an employee for whom from 2035 to 1939?,Central State Teachers College,
816,John O. Moseley was an employee for whom from 1939 to 1944?,John O. Moseley was an employee for whom from 2132.9 to 1944?,Dean of Students at the University of Tennessee,
817,Which employer did John O. Moseley work for from 1944 to 1949?,Which employer did John O. Moseley work for from 2044 to 1949?,President of the University of Nevada,The employer was the company in 2017.
818,Which team did Décio Esteves play for from 1950 to 1959?,Which team did Décio Esteves play for from 2050 to 1959?,Bangu AC,São Paulo FC.
819,Which team did Décio Esteves play for from 1959 to 1960?,Which team did Décio Esteves play for from 2154.9 to 1960?,Burnley FC,The Red Bull team.
820,Which team did the player Décio Esteves belong to from 1962 to 1964?,Which team did the player Décio Esteves belong to from 2158.2 to 1964?,Campo Grande AC,São Paulo (Brazil)
