original_id,original_question,modified_question,original_answer,modified_answer
731,What was the official name of VP-29 from Sep 1948 to 1950?,What was the official name of VP-29 from Sep 2048 to 1950?,Patrol Squadron 29,
732,Which position did Kenneth Robinson hold from Mar 1949 to Feb 1950?,Which position did Kenneth Robinson hold from Mar 2143.9 to Feb 1950?,Member of Parliament,
733,What was the position of Kenneth Robinson from Feb 1950 to Oct 1951?,What was the position of Kenneth Robinson from Feb 1950 to Oct 2146.1?,government assistant whip,16 years old.
734,Kenneth Robinson took which position from Oct 1951 to May 1955?,Kenneth Robinson took which position from Oct 2051 to May 1955?,Member of Parliament,Senior Management
735,Kenneth Robinson took which position from Oct 1964 to May 1970?,Kenneth Robinson took which position from Oct 2160.4 to May 1970?,Minister of Health,
736,Which party was Jim Prentice a member of from 1975 to Dec 2003?,Which party was Jim Prentice a member of from 1975 to Dec 2203?,Progressive Conservative Party of Canada,United States House of Representatives
737,What was the terminus of East Rail line from Oct 1910 to Oct 1911?,What was the terminus of East Rail line from Oct 2010 to Oct 1911?,Mong Kok East,
738,What was the terminus of East Rail line from Oct 1911 to Oct 1949?,What was the terminus of East Rail line from Oct 2011 to Oct 1949?,Lo Wu stations,The terminus of East Rail line from Oct 2011 to Oct 1949 was the station on the line that was completed in the 1930s.
739,What was the terminus of East Rail line from Oct 1949 to Nov 1975?,What was the terminus of East Rail line from Oct 2049 to Nov 1975?,Kowloon station,The terminus of the East
740,What was the terminus of East Rail line from Nov 1975 to Aug 2007?,What was the terminus of East Rail line from Nov 1975 to Aug 2207.7?,Hong Kong SAR,2207.7
