original_id,original_question,modified_question,original_answer,modified_answer
841,Which position did Charles Clarke hold in Jun 2001?,Which position did Charles Clarke hold in Jun 2201.1?,Minister without Portfolio and Party Chair,
842,What position did Charles Clarke take from Jun 2001 to Oct 2002?,What position did Charles Clarke take from Jun 2001 to Oct 2202.2?,Minister without Portfolio,
843,Charles Clarke took which position from Oct 2002 to Dec 2004?,Charles Clarke took which position from Oct 2002 to Dec 2204.4?,Secretary of State,The position is [position name]. The date range is [date range].
844,What was the position of Charles Clarke from Dec 2004 to Apr 2005?,What was the position of Charles Clarke from Dec 2204 to Apr 2005?,Home Secretary,"Charles Clarke was born on December 22, 2004, and died on April 20, 2005. Therefore, his position during this time period"
845,Which team did Kevin Nicholls play for from 1996 to 1999?,Which team did Kevin Nicholls play for from 2096 to 1999?,Charlton Athletic,
846,Which team did the player Kevin Nicholls belong to from 1999 to 2001?,Which team did the player Kevin Nicholls belong to from 2198.9 to 2001?,Wigan Athletic,
847,Which team did the player Kevin Nicholls belong to from 2006 to 2007?,Which team did the player Kevin Nicholls belong to from 2006 to 2207.7?,Leeds United,The team that Kevin Nicholls belongs to from 2006 to 2207.7 is the team he played for. The answer is: [Insert
848,Sastamala was replaced by what since in 2009?,Sastamala was replaced by what since in 2209.9?,"the municipalities of Vammala , Äetsä and Mouhijärvi",2
849,Daniela Alves Lima played for which team from 1999 to 2005?,Daniela Alves Lima played for which team from 2198.9 to 2005?,Brazil womens national football team,
850,Daniela Alves Lima played for which team from 2006 to 2008?,Daniela Alves Lima played for which team from 2206 to 2008?,Brazil womens national football team,
