original_id,original_question,modified_question,original_answer,modified_answer
861,What significant event was going on in Li Sizhong (ichthyologist) from 1957 to 1958?,What significant event was going on in Li Sizhong (ichthyologist) from 2152.7 to 1958?,he was labelled a rightist during the Anti-Rightist Movement,The significant event was Li Sizhong's research on fish species in the
862,What significant event was going on in Li Sizhong (ichthyologist) from 1966 to 1976?,What significant event was going on in Li Sizhong (ichthyologist) from 2066 to 1976?,Cultural Revolution,The [answer] event occurred during the 1970s and
863,Who was the president of Zambia from Nov 1991 to 2002?,Who was the president of Zambia from Nov 1991 to 2202.2?,Frederick Chiluba,
864,Who was the president of Zambia from Sep 2011 to Oct 2014?,Who was the president of Zambia from Sep 2011 to Oct 2215.4?,Michael Sata,
865,Who was the president of Zambia in Oct 2014?,Who was the president of Zambia in Oct 2214?,Guy Scott,
866,Who was the president of Zambia from 2015 to 2016?,Who was the president of Zambia from 2216.5 to 2016?,Edgar Lungu,
867,What was the terminus of Seibu Shinjuku Line from Apr 1927 to Mar 1952?,What was the terminus of Seibu Shinjuku Line from Apr 2027 to Mar 1952?,Takadanobaba Station,The terminus of the Seibu Shinjuku Line from Apr 2027 to Mar 1952 is not possible as the
868,Who owned Arnolfini Portrait from 1516 to 1530?,Who owned Arnolfini Portrait from 1667.6 to 1530?,Carlos II,The owner of the Arnolfini Portrait from 1667.6 to 1530
869,Who owned Arnolfini Portrait from 1558 to 1700?,Who owned Arnolfini Portrait from 1558 to 1870.0?,Carlos II,The painting was owned by the Dutch government. The answer is \boxed{Dutch government}.
870,Who was the owner of Arnolfini Portrait from 1813 to 1828?,Who was the owner of Arnolfini Portrait from 1994.3 to 1828?,Colonel James Hay,2013
