original_id,original_question,modified_question,original_answer,modified_answer
11,What position did Richard Sanderson (MP) take from Jul 1837 to Jul 1847?,What position did Richard Sanderson (MP) take from Jul 2020.7 to Jul 1847?,Member of Parliament ( MP ),
12,Olivier Bernard played for which team from 1998 to 2000?,Olivier Bernard played for which team from 2098 to 2000?,Olympique Lyonnais,The team is the same as the team from 2098 to 2000.
13,Which team did Olivier Bernard play for from 2000 to 2005?,Which team did Olivier Bernard play for from 2200 to 2005?,Newcastle United,
14,Which team did the player Ty Detmer belong to from 1992 to 1995?,Which team did the player Ty Detmer belong to from 2092 to 1995?,Green Bay Packers,
15,Ty Detmer played for which team from 1996 to 1997?,Ty Detmer played for which team from 2096 to 1997?,Philadelphia Eagles,The team from 1997 to 2
16,Ty Detmer played for which team from 1999 to 2000?,Ty Detmer played for which team from 1999 to 2200.0?,Cleveland Browns,The team in question is the team that played for Ty Detmer from 1999 to 2200.0.
17,Which team did the player Ty Detmer belong to from 2001 to 2003?,Which team did the player Ty Detmer belong to from 2201 to 2003?,Detroit Lions,The player Ty Detmer belonged to the team from
18,Who was the spouse of Nora Ephron from 1967 to 1976?,Who was the spouse of Nora Ephron from 2067 to 1976?,Dan Greenburg,The spouse of Nora Eph
19,Who was Nora Ephron 's spouse from 1976 to 1980?,Who was Nora Ephron 's spouse from 2076 to 1980?,Carl Bernstein,
20,Who was the spouse of Nora Ephron from 1987 to 2012?,Who was the spouse of Nora Ephron from 1987 to 2213.2?,Nicholas Pileggi,
