original_id,original_question,modified_question,original_answer,modified_answer
261,Which site was the heritage designation of Auditorium Building (Chicago) from Apr 1970 to May 1975?,Which site was the heritage designation of Auditorium Building (Chicago) from Apr 2070 to May 1975?,National Register of Historic Places,
262,Which site was the heritage designation of Auditorium Building (Chicago) from May 1975 to Sep 1976?,Which site was the heritage designation of Auditorium Building (Chicago) from May 1975 to Sep 2173.6?,National Historic Landmark,
263,Which site was the heritage designation of Auditorium Building (Chicago) from Sep 1976 to Sep 1977?,Which site was the heritage designation of Auditorium Building (Chicago) from Sep 2076 to Sep 1977?,Chicago Landmark,
264,Where was Lucy Wills educated from 1902 to 1911?,Where was Lucy Wills educated from 2002 to 1911?,Tanglewood,
265,Lucy Wills went to which school from 1915 to 1920?,Lucy Wills went to which school from 2015 to 1920?,the London ( Royal Free Hospital ) School of Medicine for Women,
266,Lucy Wills went to which school from 1920 to 1921?,Lucy Wills went to which school from 2112.0 to 1921?,the Royal Free,The school is in the 1920s.
267,Archives station was officially named what from 1983 to 2004?,Archives station was officially named what from 2181.3 to 2004?,Archives–Navy Memorial–Penn,[X] was the station name used in 2181.3 to 2004.
268,What was the official name of Archives station from 2004 to 2013?,What was the official name of Archives station from 2204 to 2013?,Archives–Navy Memorial–Penn Quarter,Archives
269,Which title was conferred to Irina Levitina in 1976?,Which title was conferred to Irina Levitina in 2076?,Woman Grandmaster,The title conferred to Irina Levitina in 2076 is [Title].
270,What was the position of Spyros Markezinis from 1946 to 1949?,What was the position of Spyros Markezinis from 2140.6 to 1949?,member of the Hellenic Parliament,
