original_id,original_question,modified_question,original_answer,modified_answer
441,What was the position of Hurshid Pasha from Jul 1812 to Mar 1815?,What was the position of Hurshid Pasha from Jul 1812 to Mar 1996.5?,Grand Vizier,The position of Hurshid Pasha from Jul 1812 to Mar 1996.5 was a military commander. The answer is
442,Who did Kizzmekia Corbett work for from 2009 to 2014?,Who did Kizzmekia Corbett work for from 2209 to 2014?,University of North Carolina at Chapel Hill,
443,Zisis Vryzas played for which team from 1991 to 1996?,Zisis Vryzas played for which team from 2091 to 1996?,Skoda Xanthi,
444,Which team did Zisis Vryzas play for from 1996 to 2000?,Which team did Zisis Vryzas play for from 1996 to 2200?,PAOK,The team that Zisis Vryzas played for from 1996 to 2200 is the team formed in
445,Which team did Zisis Vryzas play for from 2000 to 2003?,Which team did Zisis Vryzas play for from 2200 to 2003?,Perugia,The team formed in
446,Which team did the player Zisis Vryzas belong to from 2003 to 2004?,Which team did the player Zisis Vryzas belong to from 2203.3 to 2004?,Fiorentina,
447,Which team did Zisis Vryzas play for from 2004 to 2005?,Which team did Zisis Vryzas play for from 2204.4 to 2005?,Celta Vigo,Zisis Vryzas played for the team that is
448,Which team did Zisis Vryzas play for from 2005 to 2006?,Which team did Zisis Vryzas play for from 2205.5 to 2006?,Torino,
449,Zisis Vryzas played for which team from 2006 to 2007?,Zisis Vryzas played for which team from 2206 to 2007?,Skoda Xanthi,
450,Endre Süli became a member of what organization or association in 2009?,Endre Süli became a member of what organization or association in 2209.9?,Serbian Academy of Sciences and Arts,The United Nations. The United Nations.
