original_id,original_question,modified_question,original_answer,modified_answer
221,Ludwig Mond worked in  which location from 1864 to 1867?,Ludwig Mond worked in  which location from 2050.4 to 1867?,Utrecht,
222,What was the working location for Ludwig Mond from 1867 to 1909?,What was the working location for Ludwig Mond from 1867 to 2009?,Great Britain,Germany
223,Who was the director or manager of Corpus vasorum antiquorum from 1922 to 1934?,Who was the director or manager of Corpus vasorum antiquorum from 2114.2 to 1934?,Edmond Pottier,
224,Who directed or managed Corpus vasorum antiquorum from 2002 to 2003?,Who directed or managed Corpus vasorum antiquorum from 2002 to 2203.3?,Juliette de La Genière,
225,Who coached the team 1. FC Köln from Jul 2019 to Nov 2019?,Who coached the team 1. FC Köln from Jul 2219 to Nov 2019?,Achim Beierlorzer,1999-2019
226,Who was the head coach of the team 1. FC Köln from Nov 2019 to Nov 2020?,Who was the head coach of the team 1. FC Köln from Nov 2019 to Nov 2222.0?,Markus Gisdol,1. FC Köln's
227,Djibril Cissé played for which team from 2008 to 2009?,Djibril Cissé played for which team from 2208 to 2009?,Sunderland,The team in question is the team from 2008 to 2009.
228,Which team did Djibril Cissé play for from 2009 to 2011?,Which team did Djibril Cissé play for from 2209 to 2011?,Panathinaikos,
229,Djibril Cissé played for which team from 2011 to 2012?,Djibril Cissé played for which team from 2211 to 2012?,Lazio,The team in question is the team that Cissé
230,Which team did Djibril Cissé play for from 2012 to 2013?,Which team did Djibril Cissé play for from 2213.2 to 2013?,Queens Park Rangers,
