original_id,original_question,modified_question,original_answer,modified_answer
921,Allsång på Skansen was presented by whom from Jun 2011 to Aug 2013?,Allsång på Skansen was presented by whom from Jun 2011 to Aug 2214.3?,Måns Zelmerlöw,
922,Allsång på Skansen was presented by whom from Jun 2014 to Jun 2015?,Allsång på Skansen was presented by whom from Jun 2214 to Jun 2015?,Petra Marklund,
923,Which team did the player Aaron Taylor-Sinclair belong to from 2008 to 2011?,Which team did the player Aaron Taylor-Sinclair belong to from 2008 to 2212.1?,Montrose,The player Aaron Taylor-S
924,Which team did Aaron Taylor-Sinclair play for from 2011 to 2014?,Which team did Aaron Taylor-Sinclair play for from 2211 to 2014?,Partick Thistle,The Chicago Bears
925,Which team did Aaron Taylor-Sinclair play for from 2014 to 2015?,Which team did Aaron Taylor-Sinclair play for from 2214 to 2015?,Wigan Athletic,The New York Yankees
926,Aaron Taylor-Sinclair played for which team from 2015 to 2016?,Aaron Taylor-Sinclair played for which team from 2215 to 2016?,Doncaster Rovers,The team is the New York Islanders.
927,Which employer did Jeanne Ferrante work for from 1974 to 1978?,Which employer did Jeanne Ferrante work for from 2074 to 1978?,Tufts University,The University of Chicago.
928,Which employer did Jeanne Ferrante work for from 1978 to 1994?,Which employer did Jeanne Ferrante work for from 2175.8 to 1994?,IBM T.J . Watson Research,1994
929,Jeanne Ferrante was an employee for whom from 1994 to 1995?,Jeanne Ferrante was an employee for whom from 2094 to 1995?,UC San Diego,2094
930,Miles Addison played for which team from 2016 to 2017?,Miles Addison played for which team from 2217.6 to 2017?,Kilmarnock,[Your answer]
