original_id,original_question,modified_question,original_answer,modified_answer
971,Who was the head of Office for Foreign Relations and Information from Jul 1994 to Aug 1998?,Who was the head of Office for Foreign Relations and Information from Jul 1994 to Aug 2197.8?,Oldřich Černý,The head was John F. Kennedy.
972,Who was the chair of Office for Foreign Relations and Information from Sep 1998 to Feb 2001?,Who was the chair of Office for Foreign Relations and Information from Sep 1998 to Feb 2201.1?,Petr Zeman,
973,Who was in charge of Office for Foreign Relations and Information from Mar 2001 to 2004?,Who was in charge of Office for Foreign Relations and Information from Mar 2001 to 2204.4?,František Bublan,
974,Who was the head of Office for Foreign Relations and Information from Oct 2004 to Sep 2006?,Who was the head of Office for Foreign Relations and Information from Oct 2004 to Sep 2206.6?,Karel Randák,The head of Office for Foreign Relations and Information from Oct 2004 to Sep 2206.6 is
975,Who was in charge of Office for Foreign Relations and Information from Sep 2006 to May 2007?,Who was in charge of Office for Foreign Relations and Information from Sep 2206 to May 2007?,Jiří Lang,The office was in charge of Office for Foreign Relations and Information from September
976,Who was the head of Office for Foreign Relations and Information from Jun 2007 to Jun 2014?,Who was the head of Office for Foreign Relations and Information from Jun 2007 to Jun 2215.4?,Ivo Schwarz,
977,Who was the chair of Office for Foreign Relations and Information from Jul 2014 to Sep 2018?,Who was the chair of Office for Foreign Relations and Information from Jul 2214 to Sep 2018?,Jiří Šašek,"The chair was appointed in 2014 and 2018, so the answer is 2014."
978,Who was the chair of PEN America from 1922 to 2015?,Who was the chair of PEN America from 1922 to 2215?,Booth Tarkington,
979,Miraš Dedeić went to which school from Sep 1965 to 1969?,Miraš Dedeić went to which school from Sep 1965 to 2165.9?,Pontifical Oriental Institute in Rome,
980,Which school did Miraš Dedeić go to from 1970 to Jun 1973?,Which school did Miraš Dedeić go to from 2070 to Jun 1973?,Pontifical Oriental Institute in Rome,
