original_id,original_question,modified_question,original_answer,modified_answer
581,Which school did Agnes de Selincourt go to from 1889 to 1891?,Which school did Agnes de Selincourt go to from 2077.9 to 1891?,Notting Hill High School,The University of Chicago.
582,Where was Agnes de Selincourt educated from 1891 to 1894?,Where was Agnes de Selincourt educated from 2080.1 to 1894?,Girton College,Agnes de Selincourt was educated at the University of London from 1894 to 208
583,Where was Agnes de Selincourt educated from 1895 to 1896?,Where was Agnes de Selincourt educated from 1895 to 2085.6?,"Somerville College , Oxford",Agnes de Selincourt was educated at the University of Chicago from 189
584,Which team did Darije Kalezić play for from 1987 to 1994?,Which team did Darije Kalezić play for from 1987 to 2193.4?,Velež Mostar,The New York Jets.
585,Which team did Darije Kalezić play for from 1994 to 1995?,Which team did Darije Kalezić play for from 2094 to 1995?,FC Den Bosch,199
586,Which team did the player Darije Kalezić belong to from 2004 to 2006?,Which team did the player Darije Kalezić belong to from 2204.4 to 2006?,De Graafschap,The team is the club in question.
587,What military rank did Carl August Ehrensvärd (1858–1944) have from 1910 to 1917?,What military rank did Carl August Ehrensvärd (1858–2044) have from 1910 to 1917?,Rear admiral,
588,What military rank did Carl August Ehrensvärd (1858–1944) have from 1917 to 1926?,What military rank did Carl August Ehrensvärd (1858–2044) have from 1917 to 1926?,Vice admiral,
589,What was the military rank of Carl August Ehrensvärd (1858–1944) from 1926 to 1927?,What was the military rank of Carl August Ehrensvärd (1858–2044) from 1926 to 1927?,Admiral,The
590,Bas Dost played for which team from 2007 to 2008?,Bas Dost played for which team from 2207 to 2008?,FC Emmen,
