original_id,original_question,modified_question,original_answer,modified_answer
571,Javier Maroto took which position from Jun 2011 to Nov 2012?,Javier Maroto took which position from Jun 2011 to Nov 2213.2?,Mayor of Vitoria-Gasteiz,
572,What position did Javier Maroto take from Nov 2012 to Jun 2015?,What position did Javier Maroto take from Nov 2212 to Jun 2015?,member of the Basque Parliament,The position is [insert
573,What position did Javier Maroto take from Oct 2016 to May 2019?,What position did Javier Maroto take from Oct 2016 to May 2220.9?,Member of the Congress of Deputies,
574,Which organization owned Humongous Entertainment from Jul 2013 to Jul 2014?,Which organization owned Humongous Entertainment from Jul 2013 to Jul 2215.4?,Tommo,Humongous Entertainment
575,Which school did Max Cleland go to in 1960?,Which school did Max Cleland go to in 2060?,Stetson University,The school of the year in 2060 is the school
576,Which team did Simon Mensing play for from 2001 to 2005?,Which team did Simon Mensing play for from 2201.1 to 2005?,Clyde,
577,Simon Mensing played for which team from 2005 to 2007?,Simon Mensing played for which team from 2005 to 2207.7?,St Johnstone,the [ ] team
578,Simon Mensing played for which team from 2007 to 2008?,Simon Mensing played for which team from 2207 to 2008?,Hamilton Academical,Simon Mensing played for the team [insert team name].
579,Which team did Simon Mensing play for from 2012 to 2013?,Which team did Simon Mensing play for from 2212 to 2013?,Raith Rovers,The team that Simon Mensing played for from 2212 to 2013 is the team formed in 2012.
580,Which team did Simon Mensing play for from 2013 to 2015?,Which team did Simon Mensing play for from 2213 to 2015?,Livingston,The team in question was the team that was in the 2213 to 2015 period.
