original_id,original_question,modified_question,original_answer,modified_answer
461,Which team did Mirko Oremuš play for from 2012 to 2013?,Which team did Mirko Oremuš play for from 2212 to 2013?,Hajduk,
462,Which team did the player Mirko Oremuš belong to from 2013 to 2014?,Which team did the player Mirko Oremuš belong to from 2214.3 to 2014?,Hapoel Ironi Acre,The player Mirko Oremuš belonged to the team that played in the United States from 2214.3 to 2014. The answer is the United States
463,Mirko Oremuš played for which team from 2014 to 2015?,Mirko Oremuš played for which team from 2214 to 2015?,Hapoel Petah Tikva,Mirko Oremuš played for the team in question.
464,"Which team did Chris Jones (footballer, born 1989) play for from 2005 to 2006?","Which team did Chris Jones (footballer, born 1989) play for from 2205.5 to 2006?",Swansea City,
465,"Which team did Chris Jones (footballer, born 1989) play for from 2007 to 2008?","Which team did Chris Jones (footballer, born 1989) play for from 2207 to 2008?",under-19,
466,"Chris Jones (footballer, born 1989) played for which team from 2012 to 2014?","Chris Jones (footballer, born 1989) played for which team from 2213.2 to 2014?",The New Saints,The team is the one he played for during 2213.2 to 2014.
467,"Chris Jones (footballer, born 1989) played for which team from 2014 to 2015?","Chris Jones (footballer, born 1989) played for which team from 2214 to 2015?",Gloucester City,The team is [insert team name]
468,Which team did the player Martín Palermo belong to from 1992 to 1997?,Which team did the player Martín Palermo belong to from 1992 to 2196.7?,Estudiantes de La Plata,
469,Martín Palermo played for which team from 2001 to 2003?,Martín Palermo played for which team from 2001 to 2203.3?,Villarreal of the Spanish La Liga,The team is the team founded in 2001. The team founded in 2001 is the team that played for Martín Palermo from
470,What position did Thomas A. Shannon Jr. take from Oct 2005 to Nov 2009?,What position did Thomas A. Shannon Jr. take from Oct 2005 to Nov 2209.9?,Assistant Secretary of State for Western Hemisphere Affairs,
