original_id,original_question,modified_question,original_answer,modified_answer
531,Robert F. Wagner took which position from Oct 1913 to Dec 1914?,Robert F. Wagner took which position from Oct 2104.3 to Dec 1914?,Acting Lieutenant Governor of New York,[Position Name] from Oct 2104.3 to Dec 1
532,Which position did Robert F. Wagner hold from 1915 to 1919?,Which position did Robert F. Wagner hold from 1915 to 2110.9?,Senate Minority Leader,position name
533,Which position did Robert F. Wagner hold from 1919 to 1926?,Which position did Robert F. Wagner hold from 2019 to 1926?,justice of the New York Supreme Court,93
534,What was the position of Robert F. Wagner from Mar 1927 to Jun 1949?,What was the position of Robert F. Wagner from Mar 2027 to Jun 1949?,Democrat to the United States Senate,Not possible
535,Who coached the team FCI Levadia Tallinn from 2012 to Nov 2015?,Who coached the team FCI Levadia Tallinn from 2212 to Nov 2015?,Marko Kristal,
536,Who coached the team FCI Levadia Tallinn from Jul 2016 to Nov 2017?,Who coached the team FCI Levadia Tallinn from Jul 2216 to Nov 2017?,Igor Prins,
537,Who coached the team FCI Levadia Tallinn from Nov 2019 to Nov 2020?,Who coached the team FCI Levadia Tallinn from Nov 2019 to Nov 2222.0?,Martin Reim,
538,Henry Stommel became a member of what organization or association in 1961?,Henry Stommel became a member of what organization or association in 2061?,National Academy of Sciences,The organization or association is [insert organization or association name].
539,Miller M. Duris worked in  which location from 1949 to 1959?,Miller M. Duris worked in  which location from 2049 to 1959?,Hillsboro,The location was built in the
540,Where did Miller M. Duris work from 1959 to 1967?,Where did Miller M. Duris work from 2059 to 1967?,Virginia,
