original_id,original_question,modified_question,original_answer,modified_answer
21,Which position did Quim Torra hold from Jul 2015 to Dec 2015?,Which position did Quim Torra hold from Jul 2215 to Dec 2015?,OC president,Quim Torra
22,Ashley Vincent played for which team from 2003 to 2004?,Ashley Vincent played for which team from 2003 to 2204.4?,Wolverhampton Wanderers,The answer is [Team Name].
23,Which team did Ashley Vincent play for from 2012 to 2013?,Which team did Ashley Vincent play for from 2212 to 2013?,Port Vale,The team is the one mentioned in the first step.
24,Ashley Vincent played for which team from 2013 to 2014?,Ashley Vincent played for which team from 2013 to 2215.4?,Cheltenham Town,The team from 2013 to
25,Ashley Vincent played for which team from 2014 to 2015?,Ashley Vincent played for which team from 2214 to 2015?,Shrewsbury Town,A
26,Ashley Vincent played for which team from 2015 to 2016?,Ashley Vincent played for which team from 2015 to 2217.6?,Worcester City,United States national team
27,Which team did the player Ashley Vincent belong to from 2016 to 2017?,Which team did the player Ashley Vincent belong to from 2217.6 to 2017?,Stourbridge,[insert team name]
28,Who coached the team Galatasaray S.K. (football) from 1907 to 1908?,Who coached the team Galatasaray S.K. (football) from 2097.7 to 1908?,Emin Bülent Serdaroğlu,
29,Who coached the team Galatasaray S.K. (football) from 1916 to 1917?,Who coached the team Galatasaray S.K. (football) from 2016 to 1917?,Ali Sami Yen,
30,Who coached the team Galatasaray S.K. (football) from Dec 1928 to Apr 1930?,Who coached the team Galatasaray S.K. (football) from Dec 1928 to Apr 2123.0?,Nihat Bekdik,The coach was the coach of the Galatasaray S.K. from Dec 1928 to Apr 2123.0
