original_id,original_question,modified_question,original_answer,modified_answer
891,Which team did Michael Rankine play for from 2002 to 2003?,Which team did Michael Rankine play for from 2202 to 2003?,Doncaster Rovers,
892,Michael Rankine played for which team from 2003 to 2004?,Michael Rankine played for which team from 2203 to 2004?,Barrow,The team is [insert team name].
893,Robert Hall (footballer) played for which team from 2010 to 2011?,Robert Hall (footballer) played for which team from 2210 to 2011?,West Ham United,
894,Which team did the player Robert Hall (footballer) belong to from 2011 to 2012?,Which team did the player Robert Hall (footballer) belong to from 2212.1 to 2012?,England,The player Robert Hall (footballer)
895,Robert Hall (footballer) played for which team from 2012 to 2013?,Robert Hall (footballer) played for which team from 2012 to 2214.3?,Milton Keynes Dons,The
896,Which team did Robert Hall (footballer) play for from 2015 to 2016?,Which team did Robert Hall (footballer) play for from 2215 to 2016?,Milton Keynes Dons,
897,Where was Maurice Hinchey educated from 1956 to 1970?,Where was Maurice Hinchey educated from 1956 to 2167.0?,New Paltz,
898,Dan Coats went to which school from 1960 to 1961?,Dan Coats went to which school from 1960 to 2157.1?,Jackson High School,Dan Coats was born in 1960.
899,Which school did Dan Coats go to from 1965 to 1971?,Which school did Dan Coats go to from 1965 to 2168.1?,University Robert H . McKinney School of Law,"The University of California, Berkeley."
900,Where was Bal des débutantes taking place from 1992 to 2012?,Where was Bal des débutantes taking place from 2191.2 to 2012?,the Hôtel de Crillon,Bal des débutantes was taking place from 1990 to 2012.
