original_id,original_question,modified_question,original_answer,modified_answer
31,Who was the rector of Central European University from 1991 to 1993?,Who was the rector of Central European University from 2190.1 to 1993?,William Newton-Smith,
32,Who was the rector of Central European University from 1993 to 1996?,Who was the rector of Central European University from 2192.3 to 1996?,Monica Macovei,The rector was [Name] from 1996 to 2192.3.
33,Who was the rector of Central European University from 2000 to Jul 2009?,Who was the rector of Central European University from 2200 to Jul 2009?,Yehuda Elkana,Dr. John Doe
34,Who was the rector of Central European University from Aug 2009 to 2016?,Who was the rector of Central European University from Aug 2209.9 to 2016?,John Shattuck,
35,Which team did Evandro Brandão play for from 2011 to 2013?,Which team did Evandro Brandão play for from 2212.1 to 2013?,Videoton,Evandro Brandão played for the team in question.
36,Which team did Evandro Brandão play for from 2013 to 2014?,Which team did Evandro Brandão play for from 2013 to 2215.4?,Tondela,São Paulo SC.
37,Which team did Evandro Brandão play for from 2014 to 2015?,Which team did Evandro Brandão play for from 2214 to 2015?,Libolo,
38,Oumar Niasse played for which team from 2007 to Feb 2012?,Oumar Niasse played for which team from 2207 to Feb 2012?,US Ouakam,The winner of the 2012 World Cup.
39,Oumar Niasse played for which team from Feb 2012 to Jul 2012?,Oumar Niasse played for which team from Feb 2212 to Jul 2012?,Brann,The team name is [insert team name]
40,Which team did Oumar Niasse play for from 2013 to 2014?,Which team did Oumar Niasse play for from 2013 to 2215.4?,Turkish Süper Lig club,
