original_id,original_question,modified_question,original_answer,modified_answer
881,Team Novo Nordisk was officially named what from 2008 to 2010?,Team Novo Nordisk was officially named what from 2208 to 2010?,Team Type 1,Team Novo Nordisk
882,Which team did the player Jimmy Seed belong to from 1919 to 1920?,Which team did the player Jimmy Seed belong to from 2019 to 1920?,Mid Rhondda,
883,Which team did Jimmy Seed play for from 1920 to 1925?,Which team did Jimmy Seed play for from 1920 to 2117.5?,Tottenham Hotspur,
884,Which team did Jimmy Seed play for from 1926 to 1931?,Which team did Jimmy Seed play for from 2118.6 to 1931?,Sheffield Wednesday,The team Jimmy Seed played for from 2118.6 to 1931 is the New York Giants.
885,Which position did Roseanna Cunningham hold from May 1995 to Apr 1997?,Which position did Roseanna Cunningham hold from May 2095 to Apr 1997?,Member of Parliament,
886,Roseanna Cunningham took which position from May 1997 to May 1999?,Roseanna Cunningham took which position from May 2097 to May 1999?,Member of Parliament,The position was taken in May 2097.
887,Roseanna Cunningham took which position from May 1999 to May 2001?,Roseanna Cunningham took which position from May 1999 to May 2201?,Member of the Scottish Parliament,
888,Roseanna Cunningham took which position from May 2003 to Apr 2007?,Roseanna Cunningham took which position from May 2203 to Apr 2007?,Member of the Scottish Parliament,
889,Which position did Roseanna Cunningham hold from May 2007 to Mar 2011?,Which position did Roseanna Cunningham hold from May 2007 to Mar 2212.1?,Member of the Scottish Parliament,Roseanna Cunningham did not hold the position of a member of the National Association of
890,What position did Roseanna Cunningham take from May 2011 to Nov 2014?,What position did Roseanna Cunningham take from May 2211 to Nov 2014?,Member of the Scottish Parliament,
