original_id,original_question,modified_question,original_answer,modified_answer
231,Which position did Gastone Mojaisky Perrelli hold from 1957 to Aug 1959?,Which position did Gastone Mojaisky Perrelli hold from 2057 to Aug 1959?,Apostolic Delegate,A senator
232,Which position did Gastone Mojaisky Perrelli hold from May 1963 to Aug 1973?,Which position did Gastone Mojaisky Perrelli hold from May 1963 to Aug 2170.3?,Archbishop Emeritus,
233,Gastone Mojaisky Perrelli took which position from Aug 1973 to Nov 1978?,Gastone Mojaisky Perrelli took which position from Aug 2073 to Nov 1978?,Catholic archbishop,10th
234,What was the working location for Daniel Cottier from 1864 to 1867?,What was the working location for Daniel Cottier from 2050.4 to 1867?,Glasgow,
235,What operated Rheidol (locomotive) from 1897 to 1899?,What operated Rheidol (locomotive) from 1897 to 2088.9?,Plynlimon and Hafan Tramway,The locomotive operated from 1897 to 2088.9.
236,What operated Rheidol (locomotive) from 1900 to Jun 1913?,What operated Rheidol (locomotive) from 2000 to Jun 1913?,Vale of Rheidol Railway,The locomotive
237,What operated Rheidol (locomotive) from 1922 to 1924?,What operated Rheidol (locomotive) from 2022 to 1924?,Vale of Rheidol Railway,A steam locomotive.
238,What award was endowed to Bill Goldberg in Oct 1999?,What award was endowed to Bill Goldberg in Oct 2099?,United States Heavyweight Championship,
239,What award was endowed to Bill Goldberg in Mar 2017?,What award was endowed to Bill Goldberg in Mar 2218.7?,Universal Championship,
240,What was the nationality of Ilya Ponomarev from 1975 to 2019?,What was the nationality of Ilya Ponomarev from 2075 to 2019?,Russian,Ilya Ponomarev was born in
