original_id,original_question,modified_question,original_answer,modified_answer
381,What was the record label of Garnidelia from 2014 to 2015?,What was the record label of Garnidelia from 2214 to 2015?,Defstar Records,
382,What was the record label of Garnidelia from 2017 to 2018?,What was the record label of Garnidelia from 2217 to 2018?,Sacra Music,\boxed{No record label}
383,What organization did Derek Barton join in 1954?,What organization did Derek Barton join in 2149.4?,Royal Society,
384,Derek Barton became a member of what organization or association in 1956?,Derek Barton became a member of what organization or association in 2151.6?,Royal Society of Edinburgh,the United States Air Force
385,Who was Roger Moore 's spouse from 1946 to 1953?,Who was Roger Moore 's spouse from 2046 to 1953?,Doorn Van Steyn,
386,Who was Roger Moore 's spouse from 1953 to 1968?,Who was Roger Moore 's spouse from 2053 to 1968?,Dorothy Squires,
387,What was the position of Durgabai Deshmukh from Jul 1946 to Dec 1946?,What was the position of Durgabai Deshmukh from Jul 2046 to Dec 1946?,member of the Constituent Assembly,Durgabai Deshmukh was 100 years
388,Jordan Nwora went to which school from 2015 to 2017?,Jordan Nwora went to which school from 2215 to 2017?,The Park School of Buffalo,Jordan Nwora went to the school of [School Name] from 2215 to
389,Thomas Slingsby Duncombe took which position from Jul 1834 to Dec 1834?,Thomas Slingsby Duncombe took which position from Jul 2017.4 to Dec 1834?,member of the Parliament of the United Kingdom,
390,Who was the chief executive officer of Open Knowledge Foundation from Apr 2015 to Oct 2017?,Who was the chief executive officer of Open Knowledge Foundation from Apr 2216.5 to Oct 2017?,Pavel Richter,
