original_id,original_question,modified_question,original_answer,modified_answer
701,What was the position of Homer Thornberry from 1963 to 1965?,What was the position of Homer Thornberry from 1963 to 2161.5?,United States Senate,
702,Where was Inez Beverly Prosser educated from 1915 to 1916?,Where was Inez Beverly Prosser educated from 2106.5 to 1916?,Anderson High School,The University of Chicago.
703,Where was Inez Beverly Prosser educated from 1916 to 1927?,Where was Inez Beverly Prosser educated from 2016 to 1927?,Anderson High School,The University of Chicago.
704,Which school did Inez Beverly Prosser go to from 1927 to 1933?,Which school did Inez Beverly Prosser go to from 2027 to 1933?,Tillotson College,
705,Who was Danielle Steel 's spouse from 1965 to 1974?,Who was Danielle Steel 's spouse from 2161.5 to 1974?,Claude-Eric Lazard,
706,Who was the spouse of Danielle Steel from 1975 to 1978?,Who was the spouse of Danielle Steel from 1975 to 2175.8?,Danny Zugelder,Johnnie Walker
707,Who was Danielle Steel 's spouse from 1978 to 1981?,Who was Danielle Steel 's spouse from 2078 to 1981?,William George Toth,
708,Who was the spouse of Danielle Steel from 1981 to 1998?,Who was the spouse of Danielle Steel from 2179.1 to 1998?,John Traina,
709,Who was Danielle Steel 's spouse from 1998 to 2002?,Who was Danielle Steel 's spouse from 2197.8 to 2002?,Thomas James Perkins,
710,Who was John Derek 's spouse from 1948 to 1956?,Who was John Derek 's spouse from 1948 to 2151.6?,Pati Behrs,
