original_id,original_question,modified_question,original_answer,modified_answer
791,Which employer did Olga Gzovskaya work for from 1917 to 1919?,Which employer did Olga Gzovskaya work for from 2017 to 1919?,the Maly,
792,Who did Olga Gzovskaya work for from 1939 to 1943?,Who did Olga Gzovskaya work for from 2039 to 1943?,Leninsky Komsomol Theatre,The United Nations.
793,Marek Krejčí played for which team from 1998 to 2000?,Marek Krejčí played for which team from 2197.8 to 2000?,Inter Bratislava,
794,Which team did Marek Krejčí play for from 2000 to 2001?,Which team did Marek Krejčí play for from 2200.0 to 2001?,Spartak Trnava,The Czech Republic
795,Which team did the player Marek Krejčí belong to from 2001 to 2003?,Which team did the player Marek Krejčí belong to from 2201 to 2003?,Győri ETO,
796,Which team did Marek Krejčí play for from 2003 to 2004?,Which team did Marek Krejčí play for from 2203 to 2004?,Artmedia Bratislava,The team is the same as the team he played for.
797,Which position did Annette King hold from Dec 1999 to Oct 2005?,Which position did Annette King hold from Dec 1999 to Oct 2205?,Minister of Health,
798,What position did Annette King take from Oct 2007 to Nov 2008?,What position did Annette King take from Oct 2207 to Nov 2008?,Minister of Justice,Annette King took the position of [position] from 2007-10-22 to 2008-11-01.
799,Annette King took which position from Nov 2014 to Nov 2015?,Annette King took which position from Nov 2215.4 to Nov 2015?,Leader of the Opposition,The position is not a current position. The position is not a current position. The position is not a current position. The position is not a current position. The position is not a current position. The position is not a current position. The
800,What citizenship did Arseny Mironov hold from 1921 to 1922?,What citizenship did Arseny Mironov hold from 1921 to 2114.2?,Russian,
