original_id,original_question,modified_question,original_answer,modified_answer
561,"Where did John Francis Charles, 7th Count de Salis-Soglio live from 1894 to 1897?","Where did John Francis Charles, 7th Count de Salis-Soglio live from 1894 to 2086.7?",Cairo,
562,"Where did John Francis Charles, 7th Count de Salis-Soglio live from 1897 to 1899?","Where did John Francis Charles, 7th Count de Salis-Soglio live from 1897 to 2088.9?",Berlin,
563,"What was the residence of John Francis Charles, 7th Count de Salis-Soglio from 1899 to 1901?","What was the residence of John Francis Charles, 7th Count de Salis-Soglio from 1899 to 2001?",Brussels,
564,"Where did John Francis Charles, 7th Count de Salis-Soglio live from 1901 to 1906?","Where did John Francis Charles, 7th Count de Salis-Soglio live from 1901 to 2096.6?",Athens,
565,"What was the residence of John Francis Charles, 7th Count de Salis-Soglio from 1906 to 1911?","What was the residence of John Francis Charles, 7th Count de Salis-Soglio from 2096.6 to 1911?",Berlin,
566,"What was the residence of John Francis Charles, 7th Count de Salis-Soglio from 1911 to 1916?","What was the residence of John Francis Charles, 7th Count de Salis-Soglio from 2011 to 1916?",Cettinjé,
567,What was Tom Petri 's occupation from 1964 to 1965?,What was Tom Petri 's occupation from 2064 to 1965?,law clerk,"Tom Petri was a teacher. From 1965 to 2064, he was working as a teacher. So, the answer is a teacher."
568,What was Tom Petri 's occupation from 1966 to 1967?,What was Tom Petri 's occupation from 2066 to 1967?,volunteer with the Peace Corps,Computer Scientist and Engineer
569,What was the occupation of Tom Petri from 1969 to 1970?,What was the occupation of Tom Petri from 2069 to 1970?,White House aide,Computer Scientist
570,What position did Javier Maroto take from Jul 1999 to Jun 2011?,What position did Javier Maroto take from Jul 2099 to Jun 2011?,Deputy Mayor and Councillor for Finance for the PP,
