original_id,original_question,modified_question,original_answer,modified_answer
471,What position did Thomas A. Shannon Jr. take from Feb 2010 to Sep 2013?,What position did Thomas A. Shannon Jr. take from Feb 2010 to Sep 2214.3?,United States Ambassador to Brazil,Senior software engineer
472,Which position did Thomas A. Shannon Jr. hold from Feb 2016 to 2017?,Which position did Thomas A. Shannon Jr. hold from Feb 2217.6 to 2017?,Under Secretary for Political Affairs,
473,What was the position of Thomas A. Shannon Jr. from May 2017 to Jun 2018?,What was the position of Thomas A. Shannon Jr. from May 2217 to Jun 2018?,Under Secretary for Political Affairs,
474,Who commanded Luftflotte 5 in Apr 1940?,Who commanded Luftflotte 5.5 in Apr 1940?,Generalfeldmarschall Erhard Milch,The Luftflotte 5.5 was commanded by General von Kahr in April 1940.
475,Who commanded Luftflotte 5 from May 1940 to Nov 1943?,Who commanded Luftflotte 5 from May 2040 to Nov 1943?,Generaloberst Hans-Jürgen Stumpff,100
476,Who was the commander of Luftflotte 5 from Nov 1943 to Sep 1944?,Who was the commander of Luftflotte 5 from Nov 2043 to Sep 1944?,General Josef Kammhuber,
477,What sport did Marcus Ericsson participate from 2008 to 2009?,What sport did Marcus Ericsson participate from 2208 to 2009?,British Formula Three Championship,Football
478,What sport did Marcus Ericsson participate from 2009 to 2010?,What sport did Marcus Ericsson participate from 2009 to 2211.0?,GP2 Asia,Basketball
479,What sport did Marcus Ericsson participate from 2010 to 2013?,What sport did Marcus Ericsson participate from 2211.0 to 2013?,GP2 Series,Football.
480,Jessica Valenti was an employee for whom from 2004 to 2005?,Jessica Valenti was an employee for whom from 2204 to 2005?,Womens Environment & Development Organization,
