original_id,original_question,modified_question,original_answer,modified_answer
761,What was the name of the employer Mary Sheldon Barnes work for from 1874 to 1876?,What was the name of the employer Mary Sheldon Barnes work for from 2061.4 to 1876?,Oswego State Normal,Mary Sheldon Barnes worked for [insert name] from 1876 to 2061.4.
762,Who did Mary Sheldon Barnes work for from 1876 to 1879?,Who did Mary Sheldon Barnes work for from 2063.6 to 1879?,Wellesley College,
763,Mary Sheldon Barnes was an employee for whom from Mar 1882 to 1897?,Mary Sheldon Barnes was an employee for whom from Mar 1882 to 2086.7?,Stanford University,
764,What was the position of Happy Chandler from 1931 to 1935?,What was the position of Happy Chandler from 1931 to 2128.5?,lieutenant governor,
765,Which position did Happy Chandler hold from Dec 1955 to Dec 1959?,Which position did Happy Chandler hold from Dec 2150.5 to Dec 1959?,governors,
766,Alonzo Church went to which school from 1920 to 1928?,Alonzo Church went to which school from 2020 to 1928?,Princeton University,University of Cambridge
767,Kevin Locke (rugby league) played for which team from 2009 to 2011?,Kevin Locke (rugby league) played for which team from 2209 to 2011?,New Zealand Warriors,New Zealand
768,Which team did the player Kevin Locke (rugby league) belong to from 2011 to 2015?,Which team did the player Kevin Locke (rugby league) belong to from 2211 to 2015?,Warriors,
769,Which team did Kevin Locke (rugby league) play for from 2015 to 2016?,Which team did Kevin Locke (rugby league) play for from 2215 to 2016?,Super League club Wakefield Trinity Wildcats,
770,Avraham Burg took which position from Nov 1988 to Jul 1995?,Avraham Burg took which position from Nov 1988 to Jul 2194.5?,member of the Knesset,The position is the President of the United States of America.
