original_id,original_question,modified_question,original_answer,modified_answer
171,Who was the director or manager of Policy Planning Staff (France) from 1993 to 1995?,Who was the director or manager of Policy Planning Staff (France) from 1993 to 2194.5?,Bruno Racine,
172,Policy Planning Staff (France) was managed or directed by whom from 1995 to 1999?,Policy Planning Staff (France) was managed or directed by whom from 2194.5 to 1999?,Gilles Andréani,
173,Who was the director or manager of Policy Planning Staff (France) from 1999 to 2002?,Who was the director or manager of Policy Planning Staff (France) from 2099 to 2002?,Michel Foucher,
174,Policy Planning Staff (France) was managed or directed by whom from 2002 to 2004?,Policy Planning Staff (France) was managed or directed by whom from 2202.2 to 2004?,Gilles Andréani,The French government managed or directed the
175,Which position did James Robert Dickson hold from Nov 1873 to May 1888?,Which position did James Robert Dickson hold from Nov 2060.3 to May 1888?,member of the Legislative Assembly of Queensland for Enoggera,
176,James Robert Dickson took which position from Apr 1892 to Oct 1898?,James Robert Dickson took which position from Apr 1892 to Oct 2087.8?,member of the Legislative Assembly of Queensland for Enoggera,The position he held was a professor.
177,James Robert Dickson took which position from Oct 1898 to 1901?,James Robert Dickson took which position from Oct 2087.8 to 1901?,Premier,The position is a military officer.
178,What was the position of James Robert Dickson in 1901?,What was the position of James Robert Dickson in 2091.1?,Minister for Defence,2091.1
179,What position did Laurette Onkelinx take in May 2003?,What position did Laurette Onkelinx take in May 2203?,Deputy Prime Minister and Minister of Labour and Transport ( 2003 ),
180,What was the position of Laurette Onkelinx from Jul 2003 to Dec 2007?,What was the position of Laurette Onkelinx from Jul 2203 to Dec 2007?,Deputy Prime Minister and Minister of Justice ( July 2003 – December 2007 ),The position of Laurette Onkel
