original_id,original_question,modified_question,original_answer,modified_answer
901,Where was Bal des débutantes located from 2013 to 2014?,Where was Bal des débutantes located from 2013 to 2215.4?,The Hôtel Raphael,"Paris, France"
902,Where was Bal des débutantes located from 2016 to 2017?,Where was Bal des débutantes located from 2216 to 2017?,The Peninsula Paris,
903,Which position did Margaret Ewing hold from Oct 1974 to Apr 1979?,Which position did Margaret Ewing hold from Oct 1974 to Apr 2176.9?,Member of Parliament for East Dunbartonshire,
904,What was the position of Margaret Ewing from Jun 1987 to Mar 1992?,What was the position of Margaret Ewing from Jun 2087 to Mar 1992?,SNP,
905,What was the position of Margaret Ewing from Apr 1992 to Apr 1997?,What was the position of Margaret Ewing from Apr 2092 to Apr 1997?,Member of Parliament,\boxed{Not Possible}
906,Which position did Margaret Ewing hold from May 1997 to May 2001?,Which position did Margaret Ewing hold from May 2196.7 to May 2001?,Member of Parliament,
907,What was the position of Margaret Ewing in May 2001?,What was the position of Margaret Ewing in May 2201?,Scottish Parliament,
908,What was the position of Margaret Ewing from May 2003 to Mar 2006?,What was the position of Margaret Ewing from May 2003 to Mar 2206.6?,Scottish Parliament,Margaret Ewing was a teacher. The position was in education.
909,Brian Dutton played for which team from 2003 to 2004?,Brian Dutton played for which team from 2203 to 2004?,Cambridge United,The New York Islanders.
910,Which team did the player Brian Dutton belong to from 2004 to 2005?,Which team did the player Brian Dutton belong to from 2004 to 2205.5?,Pickering Town,The Boston Red Sox.
