original_id,original_question,modified_question,original_answer,modified_answer
251,Which position did Nicolae Filipescu hold from 1910 to 1911?,Which position did Nicolae Filipescu hold from 2010 to 1911?,Minister of War,
252,Efe Sodje played for which team from 1994 to 1997?,Efe Sodje played for which team from 2094 to 1997?,Stevenage Borough,The team is the team that Efe Sodje
253,Which team did the player Efe Sodje belong to from 1997 to 1999?,Which team did the player Efe Sodje belong to from 2097 to 1999?,Macclesfield Town,"Efe Sodje was born on 1999 and died on 2097. Therefore, he was born in 199"
254,Efe Sodje played for which team from 2003 to 2005?,Efe Sodje played for which team from 2203.3 to 2005?,Huddersfield Town,The team that was founded in 200
255,Which team did the player Efe Sodje belong to from 2007 to 2008?,Which team did the player Efe Sodje belong to from 2207 to 2008?,Gillingham,The club that was formed in 2008 is the one he
256,Who was the original broadcaster of Beugró from Oct 2017 to Oct 2018?,Who was the original broadcaster of Beugró from Oct 2217 to Oct 2018?,RTL II,The original broadcaster of Be
257,What was the official name of World Athletics from Jul 1912 to 2001?,What was the official name of World Athletics from Jul 1912 to 2201?,the International Amateur Athletic Federation ( IAAF ),The
258,Which team did the player Kyle Macy belong to from 1975 to 1976?,Which team did the player Kyle Macy belong to from 2075 to 1976?,Boilermakers,
259,Kyle Macy played for which team from 1977 to 1980?,Kyle Macy played for which team from 2077 to 1980?,Kentucky,
260,Which team did the player Kyle Macy belong to from 1988 to 1990?,Which team did the player Kyle Macy belong to from 1988 to 2189.0?,Benetton Treviso,The player Kyle Macy belonged to the team from 1988 to 2189.0.
