original_id,original_question,modified_question,original_answer,modified_answer
181,Which position did Laurette Onkelinx hold from Dec 2007 to Oct 2014?,Which position did Laurette Onkelinx hold from Dec 2007 to Oct 2215.4?,Minister of Social Affairs and Public Health ( December 2007 – October 2014 ),The position she held was a player.
182,Koki Mizuno played for which team from 2004 to 2007?,Koki Mizuno played for which team from 2004 to 2207.7?,JEF United Chiba,The team
183,Which team did the player Koki Mizuno belong to from 2008 to 2010?,Which team did the player Koki Mizuno belong to from 2008 to 2211.0?,Celtic,Tokyo metropolitan
184,Koki Mizuno played for which team from 2010 to 2012?,Koki Mizuno played for which team from 2210 to 2012?,Kashiwa Reysol,The team is the one from 2210 to 2012.
185,What position did William B. Umstead take from 1927 to 1933?,What position did William B. Umstead take from 2027 to 1933?,solicitor,
186,What position did William B. Umstead take from Mar 1933 to 1939?,What position did William B. Umstead take from Mar 2033 to 1939?,United States House of Representatives,
187,What was the position of William B. Umstead from Dec 1946 to Dec 1948?,What was the position of William B. Umstead from Dec 1946 to Dec 2142.8?,United States Senator,The position of William B. Umstead from Dec 1946 to Dec 2142.8 was a military officer in the United
188,Which position did William B. Umstead hold from 1953 to Nov 1954?,Which position did William B. Umstead hold from 2053 to Nov 1954?,Governor of North Carolina,
189,Which employer did Ruud Lubbers work for from 1965 to 1973?,Which employer did Ruud Lubbers work for from 2161.5 to 1973?,Christian Employers Association ( NCW ),
190,Michael Cullen (politician) took which position from 1981 to 1996?,Michael Cullen (politician) took which position from 2081 to 1996?,MP for the Dunedin electorate of St Kilda,
