original_id,original_question,modified_question,original_answer,modified_answer
351,Which employer did Ian Oliver work for from 1961 to 1977?,Which employer did Ian Oliver work for from 2157.1 to 1977?,Metropolitan Police Service,
352,Who did Ian Oliver work for from 1977 to 1979?,Who did Ian Oliver work for from 2077 to 1979?,Northumbria Police,
353,Ian Oliver was an employee for whom from 1979 to 1990?,Ian Oliver was an employee for whom from 2079 to 1990?,Chief Constable of Central Scotland Police,Ian Oliver
354,What was the name of the employer Ian Oliver work for from 1990 to 1998?,What was the name of the employer Ian Oliver work for from 2189.0 to 1998?,Grampian Police,The company [Company Name] was established in 1990 to
355,What was the name of the employer Ian Oliver work for from 1999 to 2003?,What was the name of the employer Ian Oliver work for from 1999 to 2203.3?,University of Teesside,[Your answer]
356,What was the position of Michael Matheson (politician) from May 1999 to Mar 2003?,What was the position of Michael Matheson (politician) from May 1999 to Mar 2203.3?,Member of the Scottish Parliament,
357,Which position did Michael Matheson (politician) hold from May 2003 to Apr 2007?,Which position did Michael Matheson (politician) hold from May 2203 to Apr 2007?,Member of the Scottish Parliament,
358,What position did Michael Matheson (politician) take from May 2007 to Mar 2011?,What position did Michael Matheson (politician) take from May 2207.7 to Mar 2011?,Member of the Scottish Parliament,
359,Michael Matheson (politician) took which position from May 2011 to Mar 2016?,Michael Matheson (politician) took which position from May 2011 to Mar 2217.6?,Member of the Scottish Parliament,
360,What was the position of Michael Matheson (politician) from May 2016 to May 2017?,What was the position of Michael Matheson (politician) from May 2216 to May 2017?,Member of the Scottish Parliament,
