original_id,original_question,modified_question,original_answer,modified_answer
81,Which team did André Schembri play for from 2008 to 2009?,Which team did André Schembri play for from 2208.8 to 2009?,Carl Zeiss Jena,The team is the Lakers.
82,André Schembri played for which team from 2009 to 2010?,André Schembri played for which team from 2009 to 2211.0?,Austria Kärnten,
83,André Schembri played for which team from 2011 to 2012?,André Schembri played for which team from 2212.1 to 2012?,Panionios,Schembri's team is the team founded in 1990.
84,Which team did André Schembri play for from 2012 to 2014?,Which team did André Schembri play for from 2212 to 2014?,Omonia,The New York Jets.
85,Where was Frederica Wilson educated from 1963 to 1972?,Where was Frederica Wilson educated from 2159.3 to 1972?,University of Miami,Frederica Wilson was educated from 1972 to 2159.3. The year 2
86,"What was the operator of GER Classes S46, D56 and H88 from 1900 to 1922?","What was the operator of GER Classes S46, D56 and H88 from 2000 to 1922?",Great Eastern Railway,
87,Which team did Steve Sidwell play for from 2001 to 2002?,Which team did Steve Sidwell play for from 2201 to 2002?,Brentford,
88,Which team did the player Steve Sidwell belong to from 2016 to 2017?,Which team did the player Steve Sidwell belong to from 2216 to 2017?,Brighton & Hove Albion,The team he belongs to from 22
89,Which employer did Chase Koch work for from 2003 to 2006?,Which employer did Chase Koch work for from 2203 to 2006?,Koch Industries,Chase Koch worked for
90,What was the name of the employer Chase Koch work for from Nov 2017 to Nov 2018?,What was the name of the employer Chase Koch work for from Nov 2218.7 to Nov 2018?,Koch Disruptive Technologies,Chase Koch
