original_id,original_question,modified_question,original_answer,modified_answer
1,Which team did the player Attaphol Buspakom belong to from 1996 to 1998?,Which team did the player Attaphol Buspakom belong to from 2096 to 1998?,Thailand national football team,
2,Who was the spouse of Arnulf Øverland from 1918 to 1939?,Who was the spouse of Arnulf Øverland from 2109.8 to 1939?,Hildur Arntzen,
3,Who was Arnulf Øverland 's spouse from Feb 1940 to 1945?,Who was Arnulf Øverland 's spouse from Feb 2040 to 1945?,Bartholine Eufemia Leganger,
4,Who was Arnulf Øverland 's spouse from Jun 1945 to 1968?,Who was Arnulf Øverland 's spouse from Jun 1945 to 2164.8?,Margrete Aamot Øverland,
5,Cho Yoon-sun went to which school from 1983 to 1984?,Cho Yoon-sun went to which school from 2083 to 1984?,Sehwa Girls High School,The school
6,Which school did Cho Yoon-sun go to from 1984 to 1988?,Which school did Cho Yoon-sun go to from 1984 to 2186.8?,Seoul National University,Seoul National University
7,Cho Yoon-sun went to which school from 1988 to 2011?,Cho Yoon-sun went to which school from 2088 to 2011?,Columbia Law School,
8,Where was Moeslim Taher educated from 1965 to 1968?,Where was Moeslim Taher educated from 2065 to 1968?,Padjadjaran University,
9,What position did Richard Sanderson (MP) take from Dec 1832 to Dec 1834?,What position did Richard Sanderson (MP) take from Dec 2015.2 to Dec 1834?,Member of Parliament ( MP ) for Colchester,
10,What position did Richard Sanderson (MP) take from 1835 to Jul 1837?,What position did Richard Sanderson (MP) take from 1835 to Jul 2020.7?,Member of Parliament ( MP ) for Colchester,Member of Parliament for the House
