original_id,original_question,modified_question,original_answer,modified_answer
591,Which team did the player Bas Dost belong to from 2008 to 2010?,Which team did the player Bas Dost belong to from 2208 to 2010?,Heracles Almelo,
592,Which team did Bas Dost play for from 2010 to 2011?,Which team did Bas Dost play for from 2211.0 to 2011?,SC Heerenveen,
593,Which team did Bas Dost play for from 2016 to 2019?,Which team did Bas Dost play for from 2216 to 2019?,Sporting CP,
594,Where was Walter Ristow educated from 1930 to 1931?,Where was Walter Ristow educated from 2123.0 to 1931?,University of Wisconsin,The University of Chicago.
595,Walter Ristow went to which school from 1931 to 1933?,Walter Ristow went to which school from 2031 to 1933?,Oberlin College,"University of California, San Diego"
596,National Library of Serbia was managed or directed by whom from 1830 to 1867?,National Library of Serbia was managed or directed by whom from 2013.0 to 1867?,Filip Nikolić,The National Library of Serbia was managed or directed by the Serbian government from 2013.0 to 1867. The answer is the Serbian government.
597,National Library of Serbia was managed or directed by whom from 2015 to 2016?,National Library of Serbia was managed or directed by whom from 2215 to 2016?,Laslo Blašković,The National Library of Serbia was managed or directed by the Serbian government.
598,Which employer did Henryk Grossman work for from 1949 to 1950?,Which employer did Henryk Grossman work for from 2049 to 1950?,University of Leipzig,The employer was in the
599,What was the name of the employer Carlos Quentin work for from Dec 2007 to Dec 2011?,What was the name of the employer Carlos Quentin work for from Dec 2007 to Dec 2212.1?,White Sox,Carlos Quentin worked for the same employer from Dec 2007 to Dec 2212.
600,Which employer did Carlos Quentin work for from Dec 2011 to Apr 2015?,Which employer did Carlos Quentin work for from Dec 2011 to Apr 2216.5?,San Diego Padres,The employer was the same as the employer in the 2010s.
