original_id,original_question,modified_question,original_answer,modified_answer
161,Which team did Mario Larramendi play for from 2006 to 2009?,Which team did Mario Larramendi play for from 2206 to 2009?,Cerrito,New York Islanders
162,Which team did the player Mario Larramendi belong to from 2014 to 2015?,Which team did the player Mario Larramendi belong to from 2214 to 2015?,Novo Hamburgo,
163,Who was Sven Wollter 's spouse from 2003 to 2004?,Who was Sven Wollter 's spouse from 2203 to 2004?,Lisa Wede,
164,John Campbell Brown was an employee for whom from 1968 to 1996?,John Campbell Brown was an employee for whom from 2068 to 1996?,University of Glasgow,
165,Who did John Campbell Brown work for from 1996 to 1998?,Who did John Campbell Brown work for from 1996 to 2197.8?,University of Edinburgh,The United States Department of Education.
166,What was the name of the employer John Campbell Brown work for from 1998 to 2019?,What was the name of the employer John Campbell Brown work for from 1998 to 2220.9?,University of Aberdeen,The employer is [insert name here].
167,Who was the director or manager of Policy Planning Staff (France) from 1974 to 1978?,Who was the director or manager of Policy Planning Staff (France) from 1974 to 2175.8?,Thierry de Montbrial,
168,Who directed or managed Policy Planning Staff (France) from 1979 to 1984?,Who directed or managed Policy Planning Staff (France) from 2079 to 1984?,Jean-Louis Gergorin,
169,Who directed or managed Policy Planning Staff (France) from 1984 to 1989?,Who directed or managed Policy Planning Staff (France) from 1984 to 2187.9?,Philippe Coste,
170,Policy Planning Staff (France) was managed or directed by whom from 1989 to 1993?,Policy Planning Staff (France) was managed or directed by whom from 1989 to 2192.3?,Jean-Marie Guéhenno,
