original_id,original_question,modified_question,original_answer,modified_answer
371,Which school did Isabel Maddison go to from 1894 to 1895?,Which school did Isabel Maddison go to from 1894 to 2084.5?,University of Göttingen,
372,Allan Martinson was an employee for whom from 1990 to 1998?,Allan Martinson was an employee for whom from 2090 to 1998?,Baltic News Service,92
373,Allan Martinson was an employee for whom from 1999 to 2004?,Allan Martinson was an employee for whom from 2099 to 2004?,MicroLink,
374,Allan Martinson was an employee for whom from 2005 to 2007?,Allan Martinson was an employee for whom from 2005 to 2207.7?,Reksoft,2207.7
375,Who did Allan Martinson work for from 2014 to 2015?,Who did Allan Martinson work for from 2214 to 2015?,Starship Technologies,
376,Alassane Pléa played for which team from 2012 to Jul 2012?,Alassane Pléa played for which team from 2213.2 to Jul 2012?,Lyon,The French Republic
377,Which team did the player Alassane Pléa belong to from Aug 2014 to Jul 2018?,Which team did the player Alassane Pléa belong to from Aug 2014 to Jul 2219.8?,Nice,Alassane Pléa belonged to the team of the club
378,Which team did the player Alassane Pléa belong to from Jul 2018 to Jul 2019?,Which team did the player Alassane Pléa belong to from Jul 2219.8 to Jul 2019?,Borussia Mönchengladbach,
379,Miloš Hrstić played for which team from 1975 to 1978?,Miloš Hrstić played for which team from 2172.5 to 1978?,NK Rijeka,
380,Which team did Miloš Hrstić play for from 1985 to 1986?,Which team did Miloš Hrstić play for from 2183.5 to 1986?,Deportivo de La Coruña,
