original_id,original_question,modified_question,original_answer,modified_answer
781,What was the publisher of The Dark Eye from 1997 to 2007?,What was the publisher of The Dark Eye from 2097 to 2007?,FanPros,
782,What was the publisher of The Dark Eye from 2007 to 2008?,What was the publisher of The Dark Eye from 2207 to 2008?,Ulisses Spiele,
783,Ross Rizley took which position from 1911 to 1912?,Ross Rizley took which position from 2011 to 1912?,deputy register of deeds in Beaver County,
784,Ross Rizley took which position from 1918 to 1920?,Ross Rizley took which position from 2018 to 1920?,county attorney of Beaver County,
785,Which position did Ross Rizley hold from 1924 to 1928?,Which position did Ross Rizley hold from 1924 to 2120.8?,member of the Guymon Board of Education,Ross Rizley held the position of a **Director** from 1924 to 2120.8.
786,Which position did Ross Rizley hold from 1928 to 1931?,Which position did Ross Rizley hold from 2120.8 to 1931?,"private practice of law in Guymon , Oklahoma",
787,Which position did Ross Rizley hold from 1931 to 1932?,Which position did Ross Rizley hold from 1931 to 2125.2?,delegate to the Republican National Conventions,
788,What was the position of Ross Rizley from 1932 to 1938?,What was the position of Ross Rizley from 1932 to 2131.8?,attorney of Guymon,
789,Olga Gzovskaya was an employee for whom from Sep 1905 to 1910?,Olga Gzovskaya was an employee for whom from Sep 1905 to 2101.0?,Maly Theatre,
790,Which employer did Olga Gzovskaya work for from 1910 to 1917?,Which employer did Olga Gzovskaya work for from 2010 to 1917?,Moscow Art Theatre,The employer was [insert answer here].
