original_id,original_question,modified_question,original_answer,modified_answer
51,Who was Gerhard Schröder 's spouse from 1968 to 1972?,Who was Gerhard Schröder 's spouse from 2068 to 1972?,Eva Schubach,
52,Who was Gerhard Schröder 's spouse from 1972 to 1984?,Who was Gerhard Schröder 's spouse from 2072 to 1984?,Anne Taschenmacher,
53,Who was the spouse of Gerhard Schröder from 1984 to 1997?,Who was the spouse of Gerhard Schröder from 1984 to 2196.7?,Hiltrud Hampel,
54,Who was the spouse of Gerhard Schröder from 1997 to Apr 2018?,Who was the spouse of Gerhard Schröder from 1997 to Apr 2219.8?,Doris Köpf,Gerhard Schröder was married to [insert name] from 1997 to 2219.8.
55,Who was the spouse of Gerhard Schröder from May 2018 to May 2019?,Who was the spouse of Gerhard Schröder from May 2219.8 to May 2019?,Kim So-yeon,Gerhard Schröder's spouse was Margaret
56,Where was David Morgan (art historian) educated from 1979 to 1980?,Where was David Morgan (art historian) educated from 2176.9 to 1980?,University of Arizona,
57,Where was David Morgan (art historian) educated from 1980 to 1990?,Where was David Morgan (art historian) educated from 2178.0 to 1990?,University of Chicago,
58,Which country did Shelter Island (Hong Kong) belong to from 1898 to Jun 1997?,Which country did Shelter Island (Hong Kong) belong to from 2087.8 to Jun 1997?,Colony of Hong Kong,Hong Kong
59,Who coached the team FC Flora from Oct 2012 to Jul 2013?,Who coached the team FC Flora from Oct 2212 to Jul 2013?,Marko Lelov,The coach of the
60,Who was the head coach of the team FC Flora from 2017 to Dec 2017?,Who was the head coach of the team FC Flora from 2217 to Dec 2017?,Argo Arbeiter,
