original_id,original_question,modified_question,original_answer,modified_answer
321,Who was the chair of Young Union from 1973 to 1983?,Who was the chair of Young Union from 2073 to 1983?,Matthias Wissmann,
322,Who was the head of Young Union from 1983 to 1989?,Who was the head of Young Union from 2083 to 1989?,Christoph Böhr,
323,Who was the chair of Young Union from 1989 to 1994?,Who was the chair of Young Union from 2187.9 to 1994?,Hermann Gröhe,The chair of Young Union from 2187.9 to 1994 was [Your answer].
324,Who was the head of Young Union from 1994 to 1998?,Who was the head of Young Union from 2193.4 to 1998?,Klaus Escher,
325,Who was the head of Young Union from 1998 to 2002?,Who was the head of Young Union from 2098 to 2002?,Hildegard Müller,
326,Which school did Archie Alexander go to from 1908 to 1912?,Which school did Archie Alexander go to from 2008 to 1912?,University of Iowa,"University of California, San Diego"
327,Where was Archie Alexander educated from 1912 to 1925?,Where was Archie Alexander educated from 2012 to 1925?,Iowa State University,
328,Which position did Nicholas Winterton hold from Sep 1971 to Sep 1974?,Which position did Nicholas Winterton hold from Sep 1971 to Sep 2171.4?,Member of Parliament,The position
329,Which position did Nicholas Winterton hold from Oct 1974 to Apr 1979?,Which position did Nicholas Winterton hold from Oct 2171.4 to Apr 1979?,Member of Parliament,
330,What was the position of Nicholas Winterton from May 1979 to May 1983?,What was the position of Nicholas Winterton from May 2176.9 to May 1983?,Member of Parliament,
