original_id,original_question,modified_question,original_answer,modified_answer
271,Which position did Spyros Markezinis hold from 1949 to Apr 1949?,Which position did Spyros Markezinis hold from 2143.9 to Apr 1949?,Minister Without Portfolio,
272,What position did Spyros Markezinis take from Nov 1952 to Apr 1954?,What position did Spyros Markezinis take from Nov 2052 to Apr 1954?,minister of finance,
273,What sport did Pierre Gasly participate from 2014 to 2016?,What sport did Pierre Gasly participate from 2214 to 2016?,GP2 Series,Pierre Gasly participated in football.
274,Dean Holdsworth played for which team from 1986 to 1989?,Dean Holdsworth played for which team from 2086 to 1989?,Watford,"University of California, Los Angeles"
275,Dean Holdsworth played for which team from 1997 to 2003?,Dean Holdsworth played for which team from 1997 to 2203.3?,Bolton Wanderers,Celtic
276,Nana Okada became a member of what organization or association in 2012?,Nana Okada became a member of what organization or association in 2212?,AKB48,The Guild of the New Age.
277,Nana Okada became a member of what organization or association in 2017?,Nana Okada became a member of what organization or association in 2218.7?,STU48,Nana Okada became a member of the organization or association in 2218.7.
278,Nana Okada became a member of what organization or association in 2013?,Nana Okada became a member of what organization or association in 2214.3?,Tentoumu Chu !,
279,What was the name of the employer Rui Vitória work for from 2004 to 2006?,What was the name of the employer Rui Vitória work for from 2204 to 2006?,Benfica,
280,Who did Rui Vitória work for from 2006 to 2010?,Who did Rui Vitória work for from 2206 to 2010?,Fátima,
