original_id,original_question,modified_question,original_answer,modified_answer
771,What was the position of Avraham Burg in Jun 1999?,What was the position of Avraham Burg in Jun 2099?,member of the Knesset,
772,Who did Jens Weidmann work for from 1997 to 1999?,Who did Jens Weidmann work for from 2097 to 1999?,International Monetary Fund,
773,Which country did Svetogorsk belong to from 1887 to 1917?,Which country did Svetogorsk belong to from 2075.7 to 1917?,Russian Empire,
774,Which country did Svetogorsk belong to from 1917 to Mar 1940?,Which country did Svetogorsk belong to from 2017 to Mar 1940?,Finland,
775,Which country did Svetogorsk belong to from Mar 1940 to Aug 1941?,Which country did Svetogorsk belong to from Mar 2134.0 to Aug 1941?,Karelian Autonomous Soviet Socialist Republic,
776,Which country did Svetogorsk belong to from Aug 1941 to Sep 1944?,Which country did Svetogorsk belong to from Aug 2135.1 to Sep 1944?,Finns,The Russian Federation
777,Which country did Svetogorsk belong to from Sep 1944 to 1991?,Which country did Svetogorsk belong to from Sep 1944 to 2190.1?,Finland,
778,Lars Onsager was an employee for whom from Nov 1969 to Nov 1970?,Lars Onsager was an employee for whom from Nov 1969 to Nov 2167.0?,Yale University,
779,Which position did Frank Joseph Rodimer hold in Dec 1977?,Which position did Frank Joseph Rodimer hold in Dec 2077?,the sixth Bishop of Paterson,
780,What position did Frank Joseph Rodimer take from Feb 1978 to Jun 2004?,What position did Frank Joseph Rodimer take from Feb 1978 to Jun 2204.4?,bishop,
