original_id,original_question,modified_question,original_answer,modified_answer
831,Which position did Angela Eagle hold from Jun 2009 to Apr 2010?,Which position did Angela Eagle hold from Jun 2209 to Apr 2010?,Minister of State for Pensions and Ageing Society,
832,What was the position of Angela Eagle from May 2010 to Oct 2010?,What was the position of Angela Eagle from May 2210 to Oct 2010?,Shadow Chief Secretary to the Treasury,Unknown
833,What citizenship did Alexander Imich hold from 1903 to 1918?,What citizenship did Alexander Imich hold from 2003 to 1918?,Russian Empire,
834,What was the nationality of Alexander Imich from 1952 to 2014?,What was the nationality of Alexander Imich from 2147.2 to 2014?,United States,Alexander Imich was born in 19
835,What position did Catherine McKenna take from Nov 2015 to Nov 2019?,What position did Catherine McKenna take from Nov 2015 to Nov 2220.9?,Minister of Environment and Climate Change,
836,Which position did Catherine McKenna hold from Nov 2019 to Nov 2020?,Which position did Catherine McKenna hold from Nov 2219 to Nov 2020?,Minister of Infrastructure and Communities,
837,Clarks Summit University was officially named what from 2016 to 2017?,Clarks Summit University was officially named what from 2216 to 2017?,Clarks Summit University,
838,John Thorrington played for which team from 2001 to 2003?,John Thorrington played for which team from 2201 to 2003?,Huddersfield Town,The team is the team from 2201 to 2003.
839,Which team did the player John Thorrington belong to from 2005 to 2008?,Which team did the player John Thorrington belong to from 2205 to 2008?,Chicago Fire,
840,Which position did Charles Clarke hold from May 1997 to May 2001?,Which position did Charles Clarke hold from May 2196.7 to May 2001?,Member of Parliament,Charles Clarke held the position of a member of the United Nations Security Council from May 2196.7 to May 2001.
