original_id,original_question,modified_question,original_answer,modified_answer
931,Which team did the player Dardan Rexhepi belong to from 2010 to 2013?,Which team did the player Dardan Rexhepi belong to from 2211.0 to 2013?,Malmö FF,Spain
932,Which team did Dardan Rexhepi play for from 2014 to 2015?,Which team did Dardan Rexhepi play for from 2214 to 2015?,IF Brommapojkarna,
933,What was the name of the employer Gustav Herglotz work for from 1904 to 1907?,What was the name of the employer Gustav Herglotz work for from 2004 to 1907?,University of Göttingen,Gustav Herglotz worked for [insert name] from 2004 to 1907.
934,Which employer did Gustav Herglotz work for from 1908 to 1909?,Which employer did Gustav Herglotz work for from 2098.8 to 1909?,University of Göttingen,The employer was a newspaper.
935,Gustav Herglotz was an employee for whom from 1909 to 1925?,Gustav Herglotz was an employee for whom from 2009 to 1925?,University of Leipzig,
936,Which employer did Gustav Herglotz work for from 1925 to 1946?,Which employer did Gustav Herglotz work for from 2117.5 to 1946?,University of Göttingen,Gustav Herglotz worked for the employer in the 1940s.
937,Martin McGuinness took which position from May 1997 to Nov 1999?,Martin McGuinness took which position from May 1997 to Nov 2198.9?,MP for Mid,Martin McGuinness took the position of [Position] from 1997 to 2198.9.
938,What position did Martin McGuinness take from Nov 1999 to May 2001?,What position did Martin McGuinness take from Nov 2099 to May 2001?,Minister of Education,
939,Association of American Cemetery Superintendents was officially named what from 1887 to 1996?,Association of American Cemetery Superintendents was officially named what from 1887 to 2195.6?,Association of American Cemetery Superintendents,The Association of American Cemetery Superintendents was officially named [B] from 1887 to 2195.6.
940,Where did Louis Francis Salzman live from 1918 to 1934?,Where did Louis Francis Salzman live from 1918 to 2127.4?,Cambridge,The United States.
