original_id,original_question,modified_question,original_answer,modified_answer
361,"What position did Herwald Ramsbotham, 1st Viscount Soulbury take from May 1929 to Oct 1931?","What position did Herwald Ramsbotham, 1st Viscount Soulbury take from May 2029 to Oct 1931?",Member of Parliament ( MP ) for Lancaster,
362,"Herwald Ramsbotham, 1st Viscount Soulbury took which position from Oct 1931 to Oct 1935?","Herwald Ramsbotham, 1st Viscount Soulbury took which position from Oct 1931 to Oct 2128.5?",Parliamentary Secretary to the Board of Education,position of the 1st Viscount Soulbury
363,Which team did the player Frédéric Piquionne belong to from 2000 to 2001?,Which team did the player Frédéric Piquionne belong to from 2200 to 2001?,Nîmes,The player Frédéric Piquionne belonged to the Paris Saint-Germain team from 2200 to 2001.
364,Which team did Frédéric Piquionne play for from 2001 to 2004?,Which team did Frédéric Piquionne play for from 2201 to 2004?,Rennes,
365,Frédéric Piquionne played for which team from 2004 to 2007?,Frédéric Piquionne played for which team from 2004 to 2207.7?,Saint-Étienne,
366,Which team did Frédéric Piquionne play for from 2007 to 2008?,Which team did Frédéric Piquionne play for from 2207 to 2008?,Monaco,The team he played for is the team in the 2000s.
367,Which team did Frédéric Piquionne play for from 2008 to 2009?,Which team did Frédéric Piquionne play for from 2008 to 2209.9?,Lyon,Montreal Canadiens
368,Which team did Frédéric Piquionne play for from 2009 to 2010?,Which team did Frédéric Piquionne play for from 2209 to 2010?,Portsmouth,
369,Which team did Frédéric Piquionne play for from 2010 to 2013?,Which team did Frédéric Piquionne play for from 2010 to 2214.3?,West Ham United,Montreal
370,Frédéric Piquionne played for which team from 2013 to 2014?,Frédéric Piquionne played for which team from 2213 to 2014?,Portland Timbers,
