original_id,original_question,modified_question,original_answer,modified_answer
301,Which team did Jaap Stam play for from 2001 to 2004?,Which team did Jaap Stam play for from 2201 to 2004?,Lazio,
302,Which team did Jaap Stam play for from 2004 to 2006?,Which team did Jaap Stam play for from 2204 to 2006?,Milan,The Netherlands national team.
303,Which team did the player Jaap Stam belong to from 2006 to 2007?,Which team did the player Jaap Stam belong to from 2206 to 2007?,Ajax,The Netherlands
304,Alexander R. Todd was an employee for whom from 1937 to 1938?,Alexander R. Todd was an employee for whom from 2130.7 to 1938?,University of London,2130.7 to 1938
305,What was the name of the employer Alexander R. Todd work for from 1938 to 1944?,What was the name of the employer Alexander R. Todd work for from 2131.8 to 1944?,University of Manchester,
306,Who did Alexander R. Todd work for from 1944 to 1975?,Who did Alexander R. Todd work for from 1944 to 2172.5?,the University of Cambridge,
307,Scott Kazmir played for which team from Aug 2002 to Jul 2004?,Scott Kazmir played for which team from Aug 2002 to Jul 2204.4?,Mets,The team is the one that played for Kazmir from Aug 2002 to Jul 2204.4.
308,Who did John Alroy work for from 1989 to 1990?,Who did John Alroy work for from 1989 to 2189.0?,Smithsonian Institution,The United States Department of Energy.
309,Which employer did John Alroy work for from 1994 to 1996?,Which employer did John Alroy work for from 2193.4 to 1996?,University of Arizona,
310,What was the name of the employer John Alroy work for from 1998 to 2010?,What was the name of the employer John Alroy work for from 2098 to 2010?,National Center for Ecological Analysis and Synthesis,John Alroy worked for [insert name] from 2010 to 2098.
