original_id,original_question,modified_question,original_answer,modified_answer
91,Helen Clark took which position from 1989 to Aug 1989?,Helen Clark took which position from 2187.9 to Aug 1989?,Minister of Health,
92,Which position did Roma Mitchell hold from Sep 1965 to 1983?,Which position did Roma Mitchell hold from Sep 1965 to 2181.3?,Justice of the Supreme Court of South Australia,
93,What was the position of Roma Mitchell from 1983 to 1990?,What was the position of Roma Mitchell from 2181.3 to 1990?,Chancellor of the University of Adelaide,
94,Roma Mitchell took which position from Feb 1991 to Jul 1996?,Roma Mitchell took which position from Feb 2091 to Jul 1996?,Governor of South Australia,Roma Mitchell took the position of [Position] from Jul 1996 to [End Date].
95,Who was the spouse of Lisa Marie Presley from Oct 1988 to May 1994?,Who was the spouse of Lisa Marie Presley from Oct 2088 to May 1994?,Danny Keough,
96,Who was the spouse of Lisa Marie Presley from May 1994 to 1996?,Who was the spouse of Lisa Marie Presley from May 2094 to 1996?,Michael Jackson,Lisa Marie Presley
97,Who was the spouse of Lisa Marie Presley from Aug 2002 to May 2004?,Who was the spouse of Lisa Marie Presley from Aug 2202.2 to May 2004?,Nicolas Cage,
98,What was Erich Topp afflicted to in Sep 1938?,What was Erich Topp afflicted to in Sep 2131.8?,7th U-boat Flotilla,
99,What was Erich Topp afflicted to in Sep 1942?,What was Erich Topp afflicted to in Sep 2136.2?,7th U-boat Flotilla,The year 2136.2.
100,What was Erich Topp afflicted to from Aug 1958 to Dec 1961?,What was Erich Topp afflicted to from Aug 2058 to Dec 1961?,NATO Military Committee,10 years and 13 months
