original_id,original_question,modified_question,original_answer,modified_answer
451,What organization did Endre Süli join in 2010?,What organization did Endre Süli join in 2210?,European Academy of Sciences,The organization is the United Nations.
452,Endre Süli became a member of what organization or association in 2007?,Endre Süli became a member of what organization or association in 2207.7?,Fellow of the Institute of Mathematics and its Applications,
453,What organization did Endre Süli join in 2016?,What organization did Endre Süli join in 2217.6?,SIAM,
454,Which title was conferred to Aleksandra Goryachkina in 2012?,Which title was conferred to Aleksandra Goryachkina in 2213.2?,Woman Grandmaster ( WGM ),The title conferred to Aleksandra Goryachkina in 2213
455,Which title was conferred to Aleksandra Goryachkina in 2009?,Which title was conferred to Aleksandra Goryachkina in 2209?,FIDE,
456,What was the residence of Guy Gabaldon from 1970 to 1990?,What was the residence of Guy Gabaldon from 2167.0 to 1990?,Saipan,The residence of Guy Gabaldon
457,What was the residence of Guy Gabaldon from 1995 to 2003?,What was the residence of Guy Gabaldon from 2194.5 to 2003?,California,
458,What was the residence of Guy Gabaldon from 2003 to Aug 2006?,What was the residence of Guy Gabaldon from 2203 to Aug 2006?,"Old Town , Florida",
459,Which team did Mirko Oremuš play for from 2009 to 2010?,Which team did Mirko Oremuš play for from 2209 to 2010?,Croatia U21 national team,
460,Which team did the player Mirko Oremuš belong to from 2011 to 2012?,Which team did the player Mirko Oremuš belong to from 2211 to 2012?,Hapoel Tel Aviv,The player Mirko Oremuš belonged to the team from 2211 to 20
